poecilia_mexicana ENSPMEG00000004087
poecilia_latipinna ENSPLAG00000002739
oreochromis_niloticus ENSONIG00000020332
lepisosteus_oculatus ENSLOCG00000014582
latimeria_chalumnae ENSLACG00000015953
astatotilapia_calliptera ENSACLG00000015131
maylandia_zebra ENSMZEG00005019299
pundamilia_nyererei ENSPNYG00000015425
neolamprologus_brichardi ENSNBRG00000000451
oreochromis_niloticus ENSONIG00000014203
gadus_morhua ENSGMOG00000006076
scleropages_formosus ENSSFOG00015006042
cavia_porcellus ENSCPOG00000025476
dasypus_novemcinctus ENSDNOG00000033652
gallus_gallus ENSGALG00000008032
meleagris_gallopavo ENSMGAG00000015553
coturnix_japonica ENSCJPG00005006777
numida_meleagris ENSNMEG00000006123
xenopus_tropicalis ENSXETG00000032379
lepisosteus_oculatus ENSLOCG00000006159
esox_lucius ENSELUG00000010361
ciona_intestinalis ENSCING00000001492
