ictidomys_tridecemlineatus ENSSTOG00000026653
urocitellus_parryii ENSUPAG00010005503
spermophilus_dauricus ENSSDAG00000006214
marmota_marmota_marmota ENSMMMG00000020045
heterocephalus_glaber_female ENSHGLG00000014672
heterocephalus_glaber_male ENSHGLG00100016998
fukomys_damarensis ENSFDAG00000013199
chinchilla_lanigera ENSCLAG00000009265
mus_spicilegus ENSMSIG00000015811
mus_musculus ENSMUSG00000052525
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022771
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021860
mus_pahari MGP_PahariEiJ_G0020847
rattus_norvegicus ENSRNOG00000004534
meriones_unguiculatus ENSMUGG00000017117
cricetulus_griseus_chok1gshd ENSCGRG00001007564
cricetulus_griseus_crigri-picr ENSCGRG00015024816
cricetulus_griseus_crigri ENSCGRG00000005306
peromyscus_maniculatus_bairdii ENSPEMG00000024837
microtus_ochrogaster ENSMOCG00000017837
nannospalax_galili ENSNGAG00000010484
jaculus_jaculus ENSJJAG00000011241
castor_canadensis ENSCCNG00000002787
dipodomys_ordii ENSDORG00000000242
oryctolagus_cuniculus ENSOCUG00000021734
ochotona_princeps ENSOPRG00000018921
microcebus_murinus ENSMICG00000047853
propithecus_coquereli ENSPCOG00000011110
prolemur_simus ENSPSMG00000002557
otolemur_garnettii ENSOGAG00000025796
carlito_syrichta ENSTSYG00000006491
pan_paniscus ENSPPAG00000036934
pan_troglodytes ENSPTRG00000033791
homo_sapiens ENSG00000163806
pongo_abelii ENSPPYG00000012528
nomascus_leucogenys ENSNLEG00000015347
cercocebus_atys ENSCATG00000011225
mandrillus_leucophaeus ENSMLEG00000029731
theropithecus_gelada ENSTGEG00000024834
papio_anubis ENSPANG00000023244
macaca_nemestrina ENSMNEG00000039429
macaca_mulatta ENSMMUG00000020562
macaca_fascicularis ENSMFAG00000037499
colobus_angolensis_palliatus ENSCANG00000030968
piliocolobus_tephrosceles ENSPTEG00000008163
rhinopithecus_roxellana ENSRROG00000024461
rhinopithecus_bieti ENSRBIG00000042848
cebus_capucinus ENSCCAG00000019968
saimiri_boliviensis_boliviensis ENSSBOG00000023015
cavia_aperea ENSCAPG00000012637
cavia_porcellus ENSCPOG00000025578
octodon_degus ENSODEG00000000264
gorilla_gorilla ENSGGOG00000040946
equus_caballus ENSECAG00000034919
equus_asinus_asinus ENSEASG00005009056
myotis_lucifugus ENSMLUG00000025499
pteropus_vampyrus ENSPVAG00000013848
bos_taurus ENSBTAG00000031347
bos_mutus ENSBMUG00000012733
bison_bison_bison ENSBBBG00000000877
ovis_aries ENSOARG00000019547
capra_hircus ENSCHIG00000023911
tursiops_truncatus ENSTTRG00000008257
sus_scrofa ENSSSCG00000008538
vicugna_pacos ENSVPAG00000001630
ursus_maritimus ENSUMAG00000020097
ursus_americanus ENSUAMG00000020037
ailuropoda_melanoleuca ENSAMEG00000005147
neovison_vison ENSNVIG00000015509
canis_lupus_dingo ENSCAFG00020024052
canis_lupus_familiaris ENSCAFG00000029923
vulpes_vulpes ENSVVUG00000002876
panthera_tigris_altaica ENSPTIG00000008124
panthera_pardus ENSPPRG00000001875
felis_catus ENSFCAG00000024264
equus_caballus ENSECAG00000003130
dasypus_novemcinctus ENSDNOG00000023902
choloepus_hoffmanni ENSCHOG00000001161
loxodonta_africana ENSLAFG00000020963
procavia_capensis ENSPCAG00000011619
mesocricetus_auratus ENSMAUG00000003844
phascolarctos_cinereus ENSPCIG00000011956
ornithorhynchus_anatinus ENSOANG00000014463
apteryx_owenii ENSAOWG00000010706
apteryx_haastii ENSAHAG00000001852
apteryx_rowi ENSARWG00000000219
dromaius_novaehollandiae ENSDNVG00000016478
nothoprocta_perdicaria ENSNPEG00000002927
anser_brachyrhynchus ENSABRG00000018268
anas_platyrhynchos_platyrhynchos ENSAPLG00000015043
meleagris_gallopavo ENSMGAG00000005227
gallus_gallus ENSGALG00000017392
coturnix_japonica ENSCJPG00005001470
numida_meleagris ENSNMEG00000003170
taeniopygia_guttata ENSTGUG00000005486
lonchura_striata_domestica ENSLSDG00000013892
serinus_canaria ENSSCAG00000011939
zonotrichia_albicollis ENSZALG00000013790
junco_hyemalis ENSJHYG00000014667
ficedula_albicollis ENSFALG00000011186
cyanistes_caeruleus ENSCCEG00000018964
parus_major ENSPMJG00000004379
lepidothrix_coronata ENSLCOG00000006490
manacus_vitellinus ENSMVIG00005019547
melopsittacus_undulatus ENSMUNG00000000960
calidris_pygmaea ENSCPGG00000016569
calidris_pugnax ENSCPUG00000002312
crocodylus_porosus ENSCPRG00005009711
chelonoidis_abingdonii ENSCABG00000017124
chrysemys_picta_bellii ENSCPBG00000000290
pelodiscus_sinensis ENSPSIG00000014663
anolis_carolinensis ENSACAG00000009356
pogona_vitticeps ENSPVIG00000025548
notechis_scutatus ENSNSUG00000009425
salvator_merianae ENSSMRG00000004777
sphenodon_punctatus ENSSPUG00000006172
latimeria_chalumnae ENSLACG00000012138
xenopus_tropicalis ENSXETG00000032359
