cebus_capucinus ENSCCAG00000020934
callithrix_jacchus ENSCJAG00000006645
saimiri_boliviensis ENSSBOG00000032331
aotus_nancymaae ENSANAG00000027893
gorilla_gorilla ENSGGOG00000026063
homo_sapiens ENSG00000153498
pan_paniscus ENSPPAG00000006379
pan_troglodytes ENSPTRG00000006045
pongo_abelii ENSPPYG00000005513
nomascus_leucogenys ENSNLEG00000000412
macaca_fascicularis ENSMFAG00000023319
macaca_nemestrina ENSMNEG00000040845
macaca_mulatta ENSMMUG00000013615
mandrillus_leucophaeus ENSMLEG00000033786
papio_anubis ENSPANG00000014123
theropithecus_gelada ENSTGEG00000015151
cercocebus_atys ENSCATG00000045046
chlorocebus_sabaeus ENSCSAG00000017458
colobus_angolensis ENSCANG00000028412
piliocolobus_tephrosceles ENSPTEG00000032653
rhinopithecus_bieti ENSRBIG00000042985
rhinopithecus_roxellana ENSRROG00000034948
microcebus_murinus ENSMICG00000047839
propithecus_coquereli ENSPCOG00000001343
bos_taurus ENSBTAG00000054563
equus_caballus ENSECAG00000028452
canis_lupus ENSCAFG00000031412
felis_catus ENSFCAG00000049480
pteropus_vampyrus ENSPVAG00000009166
cricetulus_griseus ENSCGRG00000013119
cricetulus_griseus ENSCGRG00015024286
cricetulus_griseus ENSCGRG00001020199
microtus_ochrogaster ENSMOCG00000021890
peromyscus_maniculatus ENSPEMG00000018629
mus_spretus MGP_SPRETEiJ_G0031935
mus_musculus ENSMUSG00000010435
mus_spicilegus ENSMSIG00000008969
mus_caroli MGP_CAROLIEiJ_G0030826
mus_pahari MGP_PahariEiJ_G0021288
rattus_norvegicus ENSRNOG00000054006
nannospalax_galili ENSNGAG00000019273
cricetulus_griseus ENSCGRG00015024497
cricetulus_griseus ENSCGRG00000015419
microtus_ochrogaster ENSMOCG00000008790
mus_spretus MGP_SPRETEiJ_G0031929
mus_spicilegus ENSMSIG00000009444
mus_musculus ENSMUSG00000031509
mus_caroli MGP_CAROLIEiJ_G0030820
mus_pahari MGP_PahariEiJ_G0021282
rattus_norvegicus ENSRNOG00000053136
meriones_unguiculatus ENSMUGG00000003516
choloepus_hoffmanni ENSCHOG00000008017
