poecilia_latipinna ENSPLAG00000019788
poecilia_mexicana ENSPMEG00000019841
poecilia_reticulata ENSPREG00000001007
xiphophorus_couchianus ENSXCOG00000001397
gambusia_affinis ENSGAFG00000014418
fundulus_heteroclitus ENSFHEG00000014048
acanthochromis_polyacanthus ENSAPOG00000018669
amphiprion_ocellaris ENSAOCG00000013814
stegastes_partitus ENSSPAG00000013120
pundamilia_nyererei ENSPNYG00000005071
astatotilapia_calliptera ENSACLG00000013492
neolamprologus_brichardi ENSNBRG00000018478
maylandia_zebra ENSMZEG00005010804
oryzias_melastigma ENSOMEG00000008279
seriola_lalandi_dorsalis ENSSLDG00000007406
anabas_testudineus ENSATEG00000022687
periophthalmus_magnuspinnatus ENSPMGG00000006526
hippocampus_comes ENSHCOG00000014431
esox_lucius ENSELUG00000011486
paramormyrops_kingsleyae ENSPKIG00000013501
