microcebus_murinus ENSMICG00000034278
otolemur_garnettii ENSOGAG00000024205
callithrix_jacchus ENSCJAG00000005071
cebus_capucinus ENSCCAG00000027640
callithrix_jacchus ENSCJAG00000060059
macaca_fascicularis ENSMFAG00000037727
macaca_mulatta ENSMMUG00000065350
macaca_nemestrina ENSMNEG00000029358
theropithecus_gelada ENSTGEG00000029086
cercocebus_atys ENSCATG00000039169
piliocolobus_tephrosceles ENSPTEG00000008055
piliocolobus_tephrosceles ENSPTEG00000025479
ictidomys_tridecemlineatus ENSSTOG00000027155
urocitellus_parryii ENSUPAG00010017604
chinchilla_lanigera ENSCLAG00000002428
cavia_porcellus ENSCPOG00000022991
octodon_degus ENSODEG00000016782
heterocephalus_glaber ENSHGLG00000016803
heterocephalus_glaber ENSHGLG00100006853
cricetulus_griseus ENSCGRG00015027832
cricetulus_griseus ENSCGRG00001000232
cricetulus_griseus ENSCGRG00000013800
mesocricetus_auratus ENSMAUG00000004108
microtus_ochrogaster ENSMOCG00000021457
peromyscus_maniculatus ENSPEMG00000018394
mus_spicilegus ENSMSIG00000026269
mus_spretus MGP_SPRETEiJ_G0031733
mus_musculus ENSMUSG00000047751
mus_caroli MGP_CAROLIEiJ_G0030622
mus_pahari MGP_PahariEiJ_G0013827
rattus_norvegicus ENSRNOG00000050207
meriones_unguiculatus ENSMUGG00000009973
nannospalax_galili ENSNGAG00000001612
jaculus_jaculus ENSJJAG00000020923
castor_canadensis ENSCCNG00000001747
rhinopithecus_bieti ENSRBIG00000034559
canis_lupus ENSCAFG00020019898
neovison_vison ENSNVIG00000009696
felis_catus ENSFCAG00000045097
pteropus_vampyrus ENSPVAG00000000342
myotis_lucifugus ENSMLUG00000005313
ailuropoda_melanoleuca ENSAMEG00000002500
bos_indicus ENSBIXG00000012414
bos_indicus ENSBIXG00005024961
bos_taurus ENSBTAG00000024999
capra_hircus ENSCHIG00000026237
sus_scrofa ENSSSCG00000010771
equus_caballus ENSECAG00000039888
equus_asinus ENSEASG00005015070
procavia_capensis ENSPCAG00000016807
loxodonta_africana ENSLAFG00000031553
