colobus_angolensis_palliatus ENSCANG00000042478
macaca_nemestrina ENSMNEG00000032566
pongo_abelii ENSPPYG00000007999
theropithecus_gelada ENSTGEG00000014656
theropithecus_gelada ENSTGEG00000005319
chlorocebus_sabaeus ENSCSAG00000007983
macaca_mulatta ENSMMUG00000011776
cercocebus_atys ENSCATG00000009360
macaca_fascicularis ENSMFAG00000042913
macaca_mulatta ENSMMUG00000005275
macaca_nemestrina ENSMNEG00000029236
cercocebus_atys ENSCATG00000039098
mandrillus_leucophaeus ENSMLEG00000005586
papio_anubis ENSPANG00000029977
theropithecus_gelada ENSTGEG00000000682
chlorocebus_sabaeus ENSCSAG00000018367
chlorocebus_sabaeus ENSCSAG00000008538
piliocolobus_tephrosceles ENSPTEG00000000176
piliocolobus_tephrosceles ENSPTEG00000000252
piliocolobus_tephrosceles ENSPTEG00000018527
piliocolobus_tephrosceles ENSPTEG00000003071
piliocolobus_tephrosceles ENSPTEG00000035993
mandrillus_leucophaeus ENSMLEG00000012861
theropithecus_gelada ENSTGEG00000005286
rhinopithecus_bieti ENSRBIG00000041024
rhinopithecus_roxellana ENSRROG00000041235
pan_troglodytes ENSPTRG00000039092
pan_troglodytes ENSPTRG00000033900
pan_paniscus ENSPPAG00000043104
homo_sapiens ENSG00000214819
gorilla_gorilla ENSGGOG00000016727
pongo_abelii ENSPPYG00000008834
nomascus_leucogenys ENSNLEG00000034363
gorilla_gorilla ENSGGOG00000022716
homo_sapiens ENSG00000223510
pan_paniscus ENSPPAG00000022164
pan_troglodytes ENSPTRG00000046385
piliocolobus_tephrosceles ENSPTEG00000000089
piliocolobus_tephrosceles ENSPTEG00000000114
pan_troglodytes ENSPTRG00000046268
pan_troglodytes ENSPTRG00000045680
gorilla_gorilla ENSGGOG00000028350
nomascus_leucogenys ENSNLEG00000007753
pan_troglodytes ENSPTRG00000031472
pan_paniscus ENSPPAG00000025311
gorilla_gorilla ENSGGOG00000022628
pan_troglodytes ENSPTRG00000039398
gorilla_gorilla ENSGGOG00000024124
pongo_abelii ENSPPYG00000019999
rhinopithecus_roxellana ENSRROG00000005160
