colobus_angolensis_palliatus ENSCANG00000040022
piliocolobus_tephrosceles ENSPTEG00000035442
rhinopithecus_roxellana ENSRROG00000034221
macaca_nemestrina ENSMNEG00000038168
macaca_mulatta ENSMMUG00000028950
chlorocebus_sabaeus ENSCSAG00000013033
cercocebus_atys ENSCATG00000032095
papio_anubis ENSPANG00000006500
pan_troglodytes ENSPTRG00000010153
pan_paniscus ENSPPAG00000043759
homo_sapiens ENSG00000099804
gorilla_gorilla ENSGGOG00000003256
pongo_abelii ENSPPYG00000009278
nomascus_leucogenys ENSNLEG00000033125
saimiri_boliviensis_boliviensis ENSSBOG00000023274
cebus_capucinus ENSCCAG00000005906
callithrix_jacchus ENSCJAG00000012867
aotus_nancymaae ENSANAG00000034958
propithecus_coquereli ENSPCOG00000023549
propithecus_coquereli ENSPCOG00000020118
microcebus_murinus ENSMICG00000047869
prolemur_simus ENSPSMG00000023043
otolemur_garnettii ENSOGAG00000004610
dipodomys_ordii ENSDORG00000027459
castor_canadensis ENSCCNG00000020744
chinchilla_lanigera ENSCLAG00000009001
octodon_degus ENSODEG00000012979
heterocephalus_glaber_female ENSHGLG00000013911
heterocephalus_glaber_male ENSHGLG00100004243
fukomys_damarensis ENSFDAG00000014168
cavia_porcellus ENSCPOG00000038311
microtus_ochrogaster ENSMOCG00000020562
microtus_ochrogaster ENSMOCG00000002367
peromyscus_maniculatus_bairdii ENSPEMG00000006714
cricetulus_griseus_chok1gshd ENSCGRG00001018767
cricetulus_griseus_crigri-picr ENSCGRG00015007618
cricetulus_griseus_crigri ENSCGRG00000009407
cricetulus_griseus_crigri-picr ENSCGRG00015025259
cricetulus_griseus_chok1gshd ENSCGRG00001016817
cricetulus_griseus_crigri ENSCGRG00000014222
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016352
mus_musculus ENSMUSG00000020307
mus_spicilegus ENSMSIG00000001145
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015534
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017838
mus_musculus ENSMUSG00000020870
mus_spicilegus ENSMSIG00000002476
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016992
mus_pahari MGP_PahariEiJ_G0030947
rattus_norvegicus ENSRNOG00000060530
meriones_unguiculatus ENSMUGG00000021575
mesocricetus_auratus ENSMAUG00000007856
nannospalax_galili ENSNGAG00000002911
jaculus_jaculus ENSJJAG00000018118
ictidomys_tridecemlineatus ENSSTOG00000023255
spermophilus_dauricus ENSSDAG00000003808
urocitellus_parryii ENSUPAG00010015121
marmota_marmota_marmota ENSMMMG00000010590
ochotona_princeps ENSOPRG00000001017
oryctolagus_cuniculus ENSOCUG00000022563
bos_mutus ENSBMUG00000003363
bos_taurus ENSBTAG00000002098
bison_bison_bison ENSBBBG00000008590
ovis_aries ENSOARG00000008672
capra_hircus ENSCHIG00000025931
sus_scrofa ENSSSCG00000039640
myotis_lucifugus ENSMLUG00000002253
equus_caballus ENSECAG00000032804
tursiops_truncatus ENSTTRG00000000391
pteropus_vampyrus ENSPVAG00000007381
canis_lupus_familiaris ENSCAFG00000029464
