cottoperca_gobio ENSCGOG00000021555
gasterosteus_aculeatus ENSGACG00000004331
labrus_bergylta ENSLBEG00000001851
larimichthys_crocea ENSLCRG00005019451
mola_mola ENSMMOG00000013441
seriola_dumerili ENSSDUG00000017362
seriola_lalandi ENSSLDG00000020098
scophthalmus_maximus ENSSMAG00000017786
lates_calcarifer ENSLCAG00010017662
cynoglossus_semilaevis ENSCSEG00000018228
hippocampus_comes ENSHCOG00000014406
takifugu_rubripes ENSTRUG00000002683
tetraodon_nigroviridis ENSTNIG00000006240
mastacembelus_armatus ENSMAMG00000001898
monopterus_albus ENSMALG00000003057
anabas_testudineus ENSATEG00000000770
betta_splendens ENSBSLG00000000709
amphiprion_percula ENSAPEG00000020675
amphiprion_ocellaris ENSAOCG00000022840
acanthochromis_polyacanthus ENSAPOG00000020170
stegastes_partitus ENSSPAG00000019192
kryptolebias_marmoratus ENSKMAG00000018097
maylandia_zebra ENSMZEG00005000656
pundamilia_nyererei ENSPNYG00000002928
haplochromis_burtoni ENSHBUG00000013640
astatotilapia_calliptera ENSACLG00000003245
neolamprologus_brichardi ENSNBRG00000011751
oreochromis_niloticus ENSONIG00000000594
amphilophus_citrinellus ENSACIG00000012957
parambassis_ranga ENSPRNG00000022557
oryzias_latipes ENSORLG00000004961
oryzias_latipes ENSORLG00020011582
oryzias_latipes ENSORLG00015004953
oryzias_melastigma ENSOMEG00000014713
gouania_willdenowi ENSGWIG00000000247
fundulus_heteroclitus ENSFHEG00000003135
cyprinodon_variegatus ENSCVAG00000003266
poecilia_formosa ENSPFOG00000017176
poecilia_latipinna ENSPLAG00000005127
poecilia_mexicana ENSPMEG00000015301
poecilia_reticulata ENSPREG00000014475
xiphophorus_maculatus ENSXMAG00000006201
xiphophorus_couchianus ENSXCOG00000014194
gambusia_affinis ENSGAFG00000015331
periophthalmus_magnuspinnatus ENSPMGG00000007708
periophthalmus_magnuspinnatus ENSPMGG00000004252
gadus_morhua ENSGMOG00000003315
denticeps_clupeoides ENSDCDG00000034778
astyanax_mexicanus ENSAMXG00000009007
astyanax_mexicanus ENSAMXG00005008171
pygocentrus_nattereri ENSPNAG00000026019
ictalurus_punctatus ENSIPUG00000005278
electrophorus_electricus ENSEEEG00000013280
clupea_harengus ENSCHAG00000024661
hucho_hucho ENSHHUG00000051632
hucho_hucho ENSHHUG00000051505
esox_lucius ENSELUG00000010957
danio_rerio ENSDARG00000098453
paramormyrops_kingsleyae ENSPKIG00000014574
scleropages_formosus ENSSFOG00015006524
lepisosteus_oculatus ENSLOCG00000004790
erpetoichthys_calabaricus ENSECRG00000006799
callorhinchus_milii ENSCMIG00000004866
phascolarctos_cinereus ENSPCIG00000021406
vombatus_ursinus ENSVURG00010023695
notamacropus_eugenii ENSMEUG00000000659
monodelphis_domestica ENSMODG00000008199
sarcophilus_harrisii ENSSHAG00000014248
choloepus_hoffmanni ENSCHOG00000009181
dasypus_novemcinctus ENSDNOG00000034808
procavia_capensis ENSPCAG00000000935
loxodonta_africana ENSLAFG00000007137
erinaceus_europaeus ENSEEUG00000008154
ochotona_princeps ENSOPRG00000008682
pan_troglodytes ENSPTRG00000000052
pan_troglodytes ENSPTRG00000048145
homo_sapiens ENSG00000157881
pan_paniscus ENSPPAG00000023688
gorilla_gorilla ENSGGOG00000010260
pongo_abelii ENSPPYG00000001977
nomascus_leucogenys ENSNLEG00000000237
colobus_angolensis ENSCANG00000027431
piliocolobus_tephrosceles ENSPTEG00000019419
rhinopithecus_bieti ENSRBIG00000040811
rhinopithecus_roxellana ENSRROG00000037379
macaca_fascicularis ENSMFAG00000001007
macaca_mulatta ENSMMUG00000014686
macaca_nemestrina ENSMNEG00000028432
chlorocebus_sabaeus ENSCSAG00000000714
papio_anubis ENSPANG00000012486
mandrillus_leucophaeus ENSMLEG00000032258
cercocebus_atys ENSCATG00000037649
theropithecus_gelada ENSTGEG00000012715
theropithecus_gelada ENSTGEG00000017772
theropithecus_gelada ENSTGEG00000017804
saimiri_boliviensis ENSSBOG00000035066
callithrix_jacchus ENSCJAG00000002520
cebus_capucinus ENSCCAG00000027608
aotus_nancymaae ENSANAG00000026315
carlito_syrichta ENSTSYG00000029651
prolemur_simus ENSPSMG00000015087
microcebus_murinus ENSMICG00000001015
propithecus_coquereli ENSPCOG00000006531
otolemur_garnettii ENSOGAG00000010479
castor_canadensis ENSCCNG00000003582
dipodomys_ordii ENSDORG00000002776
mus_spretus MGP_SPRETEiJ_G0027873
mus_spicilegus ENSMSIG00000016251
mus_musculus ENSMUSG00000029056
mus_caroli MGP_CAROLIEiJ_G0026880
mus_pahari MGP_PahariEiJ_G0029228
rattus_norvegicus ENSRNOG00000014044
meriones_unguiculatus ENSMUGG00000002080
cricetulus_griseus ENSCGRG00001013559
cricetulus_griseus ENSCGRG00015013395
cricetulus_griseus ENSCGRG00000000502
mesocricetus_auratus ENSMAUG00000006368
microtus_ochrogaster ENSMOCG00000016061
peromyscus_maniculatus ENSPEMG00000018726
nannospalax_galili ENSNGAG00000021587
jaculus_jaculus ENSJJAG00000018242
spermophilus_dauricus ENSSDAG00000023341
marmota_marmota ENSMMMG00000018933
urocitellus_parryii ENSUPAG00010004247
ictidomys_tridecemlineatus ENSSTOG00000013425
heterocephalus_glaber ENSHGLG00000017036
heterocephalus_glaber ENSHGLG00100012751
fukomys_damarensis ENSFDAG00000012959
chinchilla_lanigera ENSCLAG00000006749
octodon_degus ENSODEG00000014680
cavia_porcellus ENSCPOG00000007326
cavia_aperea ENSCAPG00000012229
tupaia_belangeri ENSTBEG00000012059
ursus_americanus ENSUAMG00000025873
ursus_maritimus ENSUMAG00000010431
ailuropoda_melanoleuca ENSAMEG00000013341
neovison_vison ENSNVIG00000003804
mustela_putorius ENSMPUG00000007649
canis_lupus ENSCAFG00000019416
canis_lupus ENSCAFG00020010480
vulpes_vulpes ENSVVUG00000027167
felis_catus ENSFCAG00000009521
panthera_pardus ENSPPRG00000012716
equus_asinus ENSEASG00005014319
equus_caballus ENSECAG00000035260
pteropus_vampyrus ENSPVAG00000009170
capra_hircus ENSCHIG00000018619
ovis_aries ENSOARG00000018112
bos_indicus ENSBIXG00000007824
bos_indicus ENSBIXG00005015300
bos_taurus ENSBTAG00000002479
bos_mutus ENSBMUG00000023214
bison_bison ENSBBBG00000017861
tursiops_truncatus ENSTTRG00000003778
sus_scrofa ENSSSCG00000027299
sorex_araneus ENSSARG00000004555
ornithorhynchus_anatinus ENSOANG00000002947
pogona_vitticeps ENSPVIG00000020804
notechis_scutatus ENSNSUG00000000435
salvator_merianae ENSSMRG00000009012
anolis_carolinensis ENSACAG00000010682
apteryx_owenii ENSAOWG00000008429
apteryx_rowi ENSARWG00000006863
apteryx_haastii ENSAHAG00000014955
dromaius_novaehollandiae ENSDNVG00000017791
nothoprocta_perdicaria ENSNPEG00000006016
anser_brachyrhynchus ENSABRG00000006428
anas_platyrhynchos ENSAPLG00000008017
meleagris_gallopavo ENSMGAG00000002022
coturnix_japonica ENSCJPG00005009501
gallus_gallus ENSGALG00000001165
numida_meleagris ENSNMEG00000005825
calidris_pugnax ENSCPUG00000005881
calidris_pygmaea ENSCPGG00000012723
taeniopygia_guttata ENSTGUG00000002880
taeniopygia_guttata ENSTGUG00000016736
lonchura_striata ENSLSDG00000005891
junco_hyemalis ENSJHYG00000011379
zonotrichia_albicollis ENSZALG00000003097
serinus_canaria ENSSCAG00000000387
ficedula_albicollis ENSFALG00000009550
cyanistes_caeruleus ENSCCEG00000017888
parus_major ENSPMJG00000013341
lepidothrix_coronata ENSLCOG00000002520
manacus_vitellinus ENSMVIG00005001740
melopsittacus_undulatus ENSMUNG00000015831
crocodylus_porosus ENSCPRG00005012645
gopherus_agassizii ENSGAGG00000003933
chelonoidis_abingdonii ENSCABG00000018338
chrysemys_picta ENSCPBG00000021446
pelodiscus_sinensis ENSPSIG00000004017
sphenodon_punctatus ENSSPUG00000015585
ornithorhynchus_anatinus ENSOANG00000010670
drosophila_melanogaster FBgn0031682
caenorhabditis_elegans WBGene00004068
xenopus_tropicalis ENSXETG00000013747
latimeria_chalumnae ENSLACG00000016269
eptatretus_burgeri ENSEBUG00000009427
saccharomyces_cerevisiae YDR531W
