sarcophilus_harrisii ENSSHAG00000003656
phascolarctos_cinereus ENSPCIG00000031561
chinchilla_lanigera ENSCLAG00000016605
octodon_degus ENSODEG00000014544
cavia_porcellus ENSCPOG00000035250
heterocephalus_glaber_female ENSHGLG00000011217
heterocephalus_glaber_male ENSHGLG00100015208
fukomys_damarensis ENSFDAG00000004101
spermophilus_dauricus ENSSDAG00000007398
urocitellus_parryii ENSUPAG00010010446
ictidomys_tridecemlineatus ENSSTOG00000009892
marmota_marmota_marmota ENSMMMG00000009502
dipodomys_ordii ENSDORG00000004853
castor_canadensis ENSCCNG00000024956
peromyscus_maniculatus_bairdii ENSPEMG00000027625
microtus_ochrogaster ENSMOCG00000018735
cricetulus_griseus_chok1gshd ENSCGRG00001017734
cricetulus_griseus_crigri-picr ENSCGRG00015013965
cricetulus_griseus_crigri ENSCGRG00000000937
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023509
mus_spicilegus ENSMSIG00000030186
mus_musculus ENSMUSG00000039699
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022598
mus_pahari MGP_PahariEiJ_G0014092
rattus_norvegicus ENSRNOG00000021018
meriones_unguiculatus ENSMUGG00000020203
nannospalax_galili ENSNGAG00000006610
jaculus_jaculus ENSJJAG00000014025
oryctolagus_cuniculus ENSOCUG00000014263
ochotona_princeps ENSOPRG00000011465
pan_troglodytes ENSPTRG00000003856
pan_paniscus ENSPPAG00000036342
homo_sapiens ENSG00000168062
gorilla_gorilla ENSGGOG00000025989
pongo_abelii ENSPPYG00000003087
nomascus_leucogenys ENSNLEG00000005432
rhinopithecus_roxellana ENSRROG00000043235
rhinopithecus_bieti ENSRBIG00000043496
piliocolobus_tephrosceles ENSPTEG00000022561
colobus_angolensis_palliatus ENSCANG00000042056
mandrillus_leucophaeus ENSMLEG00000044378
theropithecus_gelada ENSTGEG00000010293
macaca_nemestrina ENSMNEG00000015572
macaca_fascicularis ENSMFAG00000039278
cercocebus_atys ENSCATG00000000846
macaca_mulatta ENSMMUG00000006568
chlorocebus_sabaeus ENSCSAG00000007552
papio_anubis ENSPANG00000032555
saimiri_boliviensis_boliviensis ENSSBOG00000030251
cebus_capucinus ENSCCAG00000020443
callithrix_jacchus ENSCJAG00000002550
aotus_nancymaae ENSANAG00000032515
carlito_syrichta ENSTSYG00000032146
propithecus_coquereli ENSPCOG00000006109
microcebus_murinus ENSMICG00000001270
prolemur_simus ENSPSMG00000001111
otolemur_garnettii ENSOGAG00000001363
tupaia_belangeri ENSTBEG00000007602
tursiops_truncatus ENSTTRG00000008902
vicugna_pacos ENSVPAG00000002337
bos_taurus ENSBTAG00000011467
bos_mutus ENSBMUG00000003774
bison_bison_bison ENSBBBG00000007671
capra_hircus ENSCHIG00000021612
ovis_aries ENSOARG00000011372
sus_scrofa ENSSSCG00000023178
equus_asinus_asinus ENSEASG00005018232
equus_caballus ENSECAG00000035459
ursus_maritimus ENSUMAG00000007986
ursus_americanus ENSUAMG00000012245
ailuropoda_melanoleuca ENSAMEG00000017745
neovison_vison ENSNVIG00000017946
mustela_putorius_furo ENSMPUG00000012474
canis_lupus_familiaris ENSCAFG00000014017
canis_lupus_dingo ENSCAFG00020014888
vulpes_vulpes ENSVVUG00000027531
panthera_pardus ENSPPRG00000003429
panthera_tigris_altaica ENSPTIG00000015556
felis_catus ENSFCAG00000006248
pteropus_vampyrus ENSPVAG00000007897
myotis_lucifugus ENSMLUG00000015322
dasypus_novemcinctus ENSDNOG00000039169
ornithorhynchus_anatinus ENSOANG00000019841
gopherus_agassizii ENSGAGG00000014559
chelonoidis_abingdonii ENSCABG00000021424
chrysemys_picta_bellii ENSCPBG00000023667
