kryptolebias_marmoratus ENSKMAG00000018775
acanthochromis_polyacanthus ENSAPOG00000015480
oreochromis_niloticus ENSONIG00000007987
gouania_willdenowi ENSGWIG00000010761
fundulus_heteroclitus ENSFHEG00000007743
cyprinodon_variegatus ENSCVAG00000008209
poecilia_mexicana ENSPMEG00000023475
poecilia_formosa ENSPFOG00000006160
poecilia_reticulata ENSPREG00000010573
poecilia_latipinna ENSPLAG00000014107
xiphophorus_maculatus ENSXMAG00000001386
xiphophorus_couchianus ENSXCOG00000017176
gambusia_affinis ENSGAFG00000015106
cynoglossus_semilaevis ENSCSEG00000012376
monopterus_albus ENSMALG00000007767
mastacembelus_armatus ENSMAMG00000005623
anabas_testudineus ENSATEG00000024914
seriola_lalandi ENSSLDG00000005494
seriola_dumerili ENSSDUG00000010726
pundamilia_nyererei ENSPNYG00000017071
maylandia_zebra ENSMZEG00005025341
astatotilapia_calliptera ENSACLG00000003886
haplochromis_burtoni ENSHBUG00000023201
neolamprologus_brichardi ENSNBRG00000012524
amphilophus_citrinellus ENSACIG00000010147
mola_mola ENSMMOG00000003157
cottoperca_gobio ENSCGOG00000009990
gasterosteus_aculeatus ENSGACG00000014194
labrus_bergylta ENSLBEG00000022493
larimichthys_crocea ENSLCRG00005010291
amphiprion_percula ENSAPEG00000004995
amphiprion_ocellaris ENSAOCG00000007794
stegastes_partitus ENSSPAG00000016919
parambassis_ranga ENSPRNG00000014007
lates_calcarifer ENSLCAG00010019133
betta_splendens ENSBSLG00000009753
scophthalmus_maximus ENSSMAG00000012453
oryzias_latipes ENSORLG00020022568
oryzias_latipes ENSORLG00000003794
oryzias_latipes ENSORLG00015010218
oryzias_melastigma ENSOMEG00000007453
periophthalmus_magnuspinnatus ENSPMGG00000012386
gadus_morhua ENSGMOG00000006070
hucho_hucho ENSHHUG00000026768
hucho_hucho ENSHHUG00000027947
esox_lucius ENSELUG00000001014
clupea_harengus ENSCHAG00000016100
denticeps_clupeoides ENSDCDG00000029100
electrophorus_electricus ENSEEEG00000020734
ictalurus_punctatus ENSIPUG00000008805
astyanax_mexicanus ENSAMXG00000024246
astyanax_mexicanus ENSAMXG00005003981
pygocentrus_nattereri ENSPNAG00000020074
paramormyrops_kingsleyae ENSPKIG00000017912
paramormyrops_kingsleyae ENSPKIG00000013865
scleropages_formosus ENSSFOG00015008700
danio_rerio ENSDARG00000074665
scleropages_formosus ENSSFOG00015006666
lepisosteus_oculatus ENSLOCG00000010548
erpetoichthys_calabaricus ENSECRG00000014870
anolis_carolinensis ENSACAG00000015785
pogona_vitticeps ENSPVIG00000004754
notechis_scutatus ENSNSUG00000009781
salvator_merianae ENSSMRG00000013693
sphenodon_punctatus ENSSPUG00000014605
anser_brachyrhynchus ENSABRG00000015934
anas_platyrhynchos ENSAPLG00000006499
gallus_gallus ENSGALG00000009062
coturnix_japonica ENSCJPG00005005987
meleagris_gallopavo ENSMGAG00000008520
numida_meleagris ENSNMEG00000000408
lonchura_striata ENSLSDG00000005048
taeniopygia_guttata ENSTGUG00000001434
serinus_canaria ENSSCAG00000012042
cyanistes_caeruleus ENSCCEG00000016676
zonotrichia_albicollis ENSZALG00000015443
ficedula_albicollis ENSFALG00000007721
parus_major ENSPMJG00000007560
manacus_vitellinus ENSMVIG00005004341
junco_hyemalis ENSJHYG00000016232
lepidothrix_coronata ENSLCOG00000010380
melopsittacus_undulatus ENSMUNG00000004348
calidris_pygmaea ENSCPGG00000000080
calidris_pugnax ENSCPUG00000010229
apteryx_haastii ENSAHAG00000012022
apteryx_owenii ENSAOWG00000005856
apteryx_rowi ENSARWG00000011255
dromaius_novaehollandiae ENSDNVG00000005223
crocodylus_porosus ENSCPRG00005012505
pelodiscus_sinensis ENSPSIG00000016488
chrysemys_picta ENSCPBG00000021560
chelonoidis_abingdonii ENSCABG00000014834
nothoprocta_perdicaria ENSNPEG00000012372
gopherus_agassizii ENSGAGG00000013467
prolemur_simus ENSPSMG00000012130
microcebus_murinus ENSMICG00000010076
