takifugu_rubripes ENSTRUG00000020555
tetraodon_nigroviridis ENSTNIG00000012571
labrus_bergylta ENSLBEG00000008572
gasterosteus_aculeatus ENSGACG00000003349
scophthalmus_maximus ENSSMAG00000005929
fundulus_heteroclitus ENSFHEG00000008603
cyprinodon_variegatus ENSCVAG00000023109
xiphophorus_maculatus ENSXMAG00000016527
gambusia_affinis ENSGAFG00000003988
poecilia_mexicana ENSPMEG00000008985
poecilia_latipinna ENSPLAG00000008487
poecilia_formosa ENSPFOG00000007912
poecilia_reticulata ENSPREG00000005014
kryptolebias_marmoratus ENSKMAG00000010374
oryzias_latipes_asm223469v1 ENSORLG00015009488
oryzias_latipes ENSORLG00020015494
oryzias_latipes ENSORLG00000013284
oryzias_melastigma ENSOMEG00000004839
amphiprion_percula ENSAPEG00000018479
amphiprion_ocellaris ENSAOCG00000001658
acanthochromis_polyacanthus ENSAPOG00000015738
stegastes_partitus ENSSPAG00000019628
maylandia_zebra ENSMZEG00005026244
pundamilia_nyererei ENSPNYG00000017892
haplochromis_burtoni ENSHBUG00000007975
neolamprologus_brichardi ENSNBRG00000012364
oreochromis_niloticus ENSONIG00000016963
amphilophus_citrinellus ENSACIG00000000053
mastacembelus_armatus ENSMAMG00000024173
anabas_testudineus ENSATEG00000020017
seriola_dumerili ENSSDUG00000020170
seriola_lalandi_dorsalis ENSSLDG00000007911
mola_mola ENSMMOG00000011716
hippocampus_comes ENSHCOG00000011915
gadus_morhua ENSGMOG00000010089
esox_lucius ENSELUG00000019546
seriola_lalandi_dorsalis ENSSLDG00000010106
seriola_dumerili ENSSDUG00000000896
pygocentrus_nattereri ENSPNAG00000001543
astyanax_mexicanus ENSAMXG00000016650
ictalurus_punctatus ENSIPUG00000023699
danio_rerio ENSDARG00000008732
