oryzias_latipes ENSORLG00000021984
oryzias_latipes_asm223469v1 ENSORLG00015022539
oryzias_melastigma ENSOMEG00000009611
poecilia_mexicana ENSPMEG00000010754
gambusia_affinis ENSGAFG00000000480
fundulus_heteroclitus ENSFHEG00000000369
poecilia_latipinna ENSPLAG00000023716
poecilia_formosa ENSPFOG00000009923
poecilia_reticulata ENSPREG00000004395
xiphophorus_maculatus ENSXMAG00000017637
xiphophorus_couchianus ENSXCOG00000010723
tetraodon_nigroviridis ENSTNIG00000004738
fundulus_heteroclitus ENSFHEG00000014929
hippocampus_comes ENSHCOG00000009966
gadus_morhua ENSGMOG00000015659
amphiprion_ocellaris ENSAOCG00000005908
amphiprion_percula ENSAPEG00000022414
acanthochromis_polyacanthus ENSAPOG00000003079
stegastes_partitus ENSSPAG00000019123
kryptolebias_marmoratus ENSKMAG00000009577
cyprinodon_variegatus ENSCVAG00000007777
maylandia_zebra ENSMZEG00005013749
pundamilia_nyererei ENSPNYG00000015385
haplochromis_burtoni ENSHBUG00000000021
neolamprologus_brichardi ENSNBRG00000020120
oreochromis_niloticus ENSONIG00000006768
amphilophus_citrinellus ENSACIG00000018025
anabas_testudineus ENSATEG00000016380
monopterus_albus ENSMALG00000007409
seriola_dumerili ENSSDUG00000019394
seriola_lalandi_dorsalis ENSSLDG00000003225
scophthalmus_maximus ENSSMAG00000020962
labrus_bergylta ENSLBEG00000015999
labrus_bergylta ENSLBEG00000002044
gasterosteus_aculeatus ENSGACG00000019704
mola_mola ENSMMOG00000018689
takifugu_rubripes ENSTRUG00000009813
astatotilapia_calliptera ENSACLG00000002508
cynoglossus_semilaevis ENSCSEG00000001145
mastacembelus_armatus ENSMAMG00000018729
periophthalmus_magnuspinnatus ENSPMGG00000012320
astyanax_mexicanus ENSAMXG00000029257
pygocentrus_nattereri ENSPNAG00000014712
danio_rerio ENSDARG00000005544
