maylandia_zebra ENSMZEG00005012466
pundamilia_nyererei ENSPNYG00000012657
neolamprologus_brichardi ENSNBRG00000007215
pundamilia_nyererei ENSPNYG00000012711
parambassis_ranga ENSPRNG00000006417
cottoperca_gobio ENSCGOG00000013139
lates_calcarifer ENSLCAG00010016785
seriola_lalandi ENSSLDG00000008835
amphiprion_ocellaris ENSAOCG00000007748
amphiprion_percula ENSAPEG00000007758
stegastes_partitus ENSSPAG00000012560
gouania_willdenowi ENSGWIG00000011813
gouania_willdenowi ENSGWIG00000011814
seriola_dumerili ENSSDUG00000000723
hippocampus_comes ENSHCOG00000005338
anabas_testudineus ENSATEG00000024819
mastacembelus_armatus ENSMAMG00000023727
