ornithorhynchus_anatinus ENSOANG00000009443
crocodylus_porosus ENSCPRG00005001856
xenopus_tropicalis ENSXETG00000004461
latimeria_chalumnae ENSLACG00000008097
scleropages_formosus ENSSFOG00015017825
paramormyrops_kingsleyae ENSPKIG00000023085
pygocentrus_nattereri ENSPNAG00000018742
astyanax_mexicanus ENSAMXG00000004220
ictalurus_punctatus ENSIPUG00000010926
danio_rerio ENSDARG00000020887
xiphophorus_couchianus ENSXCOG00000007551
xiphophorus_maculatus ENSXMAG00000009487
gambusia_affinis ENSGAFG00000004285
poecilia_formosa ENSPFOG00000011505
poecilia_mexicana ENSPMEG00000000919
poecilia_latipinna ENSPLAG00000005788
poecilia_reticulata ENSPREG00000011352
fundulus_heteroclitus ENSFHEG00000007976
cyprinodon_variegatus ENSCVAG00000001485
kryptolebias_marmoratus ENSKMAG00000011971
oryzias_latipes_asm223469v1 ENSORLG00015023125
oryzias_latipes ENSORLG00000016600
oryzias_latipes ENSORLG00020003557
oryzias_melastigma ENSOMEG00000016864
pundamilia_nyererei ENSPNYG00000013518
haplochromis_burtoni ENSHBUG00000013581
astatotilapia_calliptera ENSACLG00000009933
maylandia_zebra ENSMZEG00005015470
neolamprologus_brichardi ENSNBRG00000020437
oreochromis_niloticus ENSONIG00000000484
amphilophus_citrinellus ENSACIG00000017255
amphiprion_ocellaris ENSAOCG00000020477
amphiprion_percula ENSAPEG00000008177
acanthochromis_polyacanthus ENSAPOG00000022976
stegastes_partitus ENSSPAG00000012282
monopterus_albus ENSMALG00000010537
mastacembelus_armatus ENSMAMG00000016330
anabas_testudineus ENSATEG00000004348
scophthalmus_maximus ENSSMAG00000010515
cynoglossus_semilaevis ENSCSEG00000002744
seriola_lalandi_dorsalis ENSSLDG00000005211
seriola_dumerili ENSSDUG00000012847
takifugu_rubripes ENSTRUG00000016025
tetraodon_nigroviridis ENSTNIG00000016316
mola_mola ENSMMOG00000015451
gasterosteus_aculeatus ENSGACG00000011079
labrus_bergylta ENSLBEG00000002980
periophthalmus_magnuspinnatus ENSPMGG00000017597
hippocampus_comes ENSHCOG00000007533
gadus_morhua ENSGMOG00000012204
esox_lucius ENSELUG00000006566
lepisosteus_oculatus ENSLOCG00000016210
colobus_angolensis_palliatus ENSCANG00000041160
eptatretus_burgeri ENSEBUG00000015457
ciona_savignyi ENSCSAVG00000004842
