tursiops_truncatus ENSTTRG00000021453
vicugna_pacos ENSVPAG00000015475
sus_scrofa ENSSSCG00000004004
bison_bison_bison ENSBBBG00000002198
bos_taurus ENSBTAG00000037882
bos_mutus ENSBMUG00000021964
ursus_maritimus ENSUMAG00000003928
ursus_americanus ENSUAMG00000004298
ailuropoda_melanoleuca ENSAMEG00000007442
mustela_putorius_furo ENSMPUG00000008302
canis_lupus_familiaris ENSCAFG00000002361
canis_lupus_dingo ENSCAFG00020014856
vulpes_vulpes ENSVVUG00000002284
panthera_tigris_altaica ENSPTIG00000019901
panthera_pardus ENSPPRG00000002891
felis_catus ENSFCAG00000031378
pteropus_vampyrus ENSPVAG00000024279
equus_asinus_asinus ENSEASG00005020212
equus_caballus ENSECAG00000016355
equus_asinus_asinus ENSEASG00005020207
prolemur_simus ENSPSMG00000008974
propithecus_coquereli ENSPCOG00000017051
microcebus_murinus ENSMICG00000030713
otolemur_garnettii ENSOGAG00000028454
cebus_capucinus ENSCCAG00000024529
callithrix_jacchus ENSCJAG00000000028
aotus_nancymaae ENSANAG00000034679
pan_paniscus ENSPPAG00000030019
pan_troglodytes ENSPTRG00000011592
homo_sapiens ENSG00000171574
gorilla_gorilla ENSGGOG00000038644
pongo_abelii ENSPPYG00000010503
nomascus_leucogenys ENSNLEG00000033319
mandrillus_leucophaeus ENSMLEG00000038879
cercocebus_atys ENSCATG00000014933
macaca_mulatta ENSMMUG00000008730
macaca_fascicularis ENSMFAG00000041469
macaca_nemestrina ENSMNEG00000036048
papio_anubis ENSPANG00000020839
theropithecus_gelada ENSTGEG00000016252
chlorocebus_sabaeus ENSCSAG00000001597
piliocolobus_tephrosceles ENSPTEG00000006146
colobus_angolensis_palliatus ENSCANG00000039890
rhinopithecus_roxellana ENSRROG00000029097
rhinopithecus_bieti ENSRBIG00000030480
nomascus_leucogenys ENSNLEG00000027590
rhinopithecus_bieti ENSRBIG00000028035
saimiri_boliviensis_boliviensis ENSSBOG00000026406
carlito_syrichta ENSTSYG00000019537
spermophilus_dauricus ENSSDAG00000011807
urocitellus_parryii ENSUPAG00010006403
heterocephalus_glaber_female ENSHGLG00000008676
heterocephalus_glaber_male ENSHGLG00100009145
cavia_porcellus ENSCPOG00000031428
oryctolagus_cuniculus ENSOCUG00000029585
procavia_capensis ENSPCAG00000018877
