jaculus_jaculus ENSJJAG00000016295
pongo_abelii ENSPPYG00000013873
ursus_americanus ENSUAMG00000010043
echinops_telfairi ENSETEG00000011788
choloepus_hoffmanni ENSCHOG00000013630
notamacropus_eugenii ENSMEUG00000001490
macaca_fascicularis ENSMFAG00000036093
theropithecus_gelada ENSTGEG00000020959
gorilla_gorilla ENSGGOG00000012843
otolemur_garnettii ENSOGAG00000028489
octodon_degus ENSODEG00000018416
heterocephalus_glaber_male ENSHGLG00100008303
cavia_aperea ENSCAPG00000013656
mesocricetus_auratus ENSMAUG00000015113
castor_canadensis ENSCCNG00000026232
canis_lupus_dingo ENSCAFG00020013783
erinaceus_europaeus ENSEEUG00000013063
dasypus_novemcinctus ENSDNOG00000033800
notamacropus_eugenii ENSMEUG00000012347
notamacropus_eugenii ENSMEUG00000001184
notamacropus_eugenii ENSMEUG00000013340
notamacropus_eugenii ENSMEUG00000000423
monodelphis_domestica ENSMODG00000024099
notamacropus_eugenii ENSMEUG00000015056
equus_asinus_asinus ENSEASG00005011477
canis_lupus_familiaris ENSCAFG00000018512
carlito_syrichta ENSTSYG00000036350
ornithorhynchus_anatinus ENSOANG00000013807
chrysemys_picta_bellii ENSCPBG00000019977
gopherus_agassizii ENSGAGG00000020704
pelodiscus_sinensis ENSPSIG00000001835
numida_meleagris ENSNMEG00000006486
meleagris_gallopavo ENSMGAG00000015625
anser_brachyrhynchus ENSABRG00000018907
calidris_pygmaea ENSCPGG00000016241
calidris_pugnax ENSCPUG00000004570
dromaius_novaehollandiae ENSDNVG00000001486
calidris_pygmaea ENSCPGG00000019218
monopterus_albus ENSMALG00000021520
