tursiops_truncatus ENSTTRG00000015764
sorex_araneus ENSSARG00000001466
equus_asinus_asinus ENSEASG00005020226
equus_caballus ENSECAG00000002455
ursus_americanus ENSUAMG00000019481
ursus_americanus ENSUAMG00000004882
ursus_maritimus ENSUMAG00000003953
ailuropoda_melanoleuca ENSAMEG00000007406
neovison_vison ENSNVIG00000013571
canis_lupus_dingo ENSCAFG00020014882
canis_lupus_familiaris ENSCAFG00000031654
vulpes_vulpes ENSVVUG00000002226
panthera_tigris_altaica ENSPTIG00000019806
panthera_pardus ENSPPRG00000003132
felis_catus ENSFCAG00000021958
oryctolagus_cuniculus ENSOCUG00000022361
ochotona_princeps ENSOPRG00000007399
cricetulus_griseus_chok1gshd ENSCGRG00001013455
cricetulus_griseus_crigri ENSCGRG00000012285
cricetulus_griseus_crigri-picr ENSCGRG00015014998
mesocricetus_auratus ENSMAUG00000009841
microtus_ochrogaster ENSMOCG00000005599
peromyscus_maniculatus_bairdii ENSPEMG00000012342
mus_spicilegus ENSMSIG00000015223
mus_musculus ENSMUSG00000054715
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030267
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029191
mus_pahari MGP_PahariEiJ_G0021053
rattus_norvegicus ENSRNOG00000031113
nannospalax_galili ENSNGAG00000017861
jaculus_jaculus ENSJJAG00000002315
pan_troglodytes ENSPTRG00000011587
pan_paniscus ENSPPAG00000030991
homo_sapiens ENSG00000182318
gorilla_gorilla ENSGGOG00000042603
pongo_abelii ENSPPYG00000010497
nomascus_leucogenys ENSNLEG00000029434
cercocebus_atys ENSCATG00000029890
mandrillus_leucophaeus ENSMLEG00000030191
chlorocebus_sabaeus ENSCSAG00000001601
macaca_fascicularis ENSMFAG00000038510
macaca_mulatta ENSMMUG00000009311
macaca_nemestrina ENSMNEG00000030239
theropithecus_gelada ENSTGEG00000015998
papio_anubis ENSPANG00000015371
rhinopithecus_bieti ENSRBIG00000040402
rhinopithecus_roxellana ENSRROG00000029681
piliocolobus_tephrosceles ENSPTEG00000005698
colobus_angolensis_palliatus ENSCANG00000040452
cebus_capucinus ENSCCAG00000030707
saimiri_boliviensis_boliviensis ENSSBOG00000028220
callithrix_jacchus ENSCJAG00000043512
aotus_nancymaae ENSANAG00000020410
carlito_syrichta ENSTSYG00000026822
otolemur_garnettii ENSOGAG00000030930
propithecus_coquereli ENSPCOG00000025995
choloepus_hoffmanni ENSCHOG00000011264
dasypus_novemcinctus ENSDNOG00000043376
dasypus_novemcinctus ENSDNOG00000034739
echinops_telfairi ENSETEG00000012279
procavia_capensis ENSPCAG00000009862
