notechis_scutatus ENSNSUG00000002255
coturnix_japonica ENSCJPG00005003471
stegastes_partitus ENSSPAG00000008500
fundulus_heteroclitus ENSFHEG00000019655
amphilophus_citrinellus ENSACIG00000006242
monopterus_albus ENSMALG00000014829
monopterus_albus ENSMALG00000011142
xiphophorus_couchianus ENSXCOG00000007845
mola_mola ENSMMOG00000012786
astyanax_mexicanus ENSAMXG00000020999
piliocolobus_tephrosceles ENSPTEG00000009527
apteryx_rowi ENSARWG00000014116
amphilophus_citrinellus ENSACIG00000006332
pundamilia_nyererei ENSPNYG00000018234
fundulus_heteroclitus ENSFHEG00000017486
cyprinodon_variegatus ENSCVAG00000006064
xiphophorus_maculatus ENSXMAG00000000377
mastacembelus_armatus ENSMAMG00000016153
labrus_bergylta ENSLBEG00000002482
eptatretus_burgeri ENSEBUG00000004608
ciona_savignyi ENSCSAVG00000001424
