tupaia_belangeri ENSTBEG00000004772
neovison_vison ENSNVIG00000022543
choloepus_hoffmanni ENSCHOG00000000421
echinops_telfairi ENSETEG00000020281
notamacropus_eugenii ENSMEUG00000006250
cyanistes_caeruleus ENSCCEG00000005306
lepidothrix_coronata ENSLCOG00000010822
nothoprocta_perdicaria ENSNPEG00000015661
chelonoidis_abingdonii ENSCABG00000015662
sphenodon_punctatus ENSSPUG00000004625
ficedula_albicollis ENSFALG00000004435
taeniopygia_guttata ENSTGUG00000003792
latimeria_chalumnae ENSLACG00000006954
ciona_intestinalis ENSCING00000013902
