panthera_tigris_altaica ENSPTIG00000014358
felis_catus ENSFCAG00000035285
ursus_americanus ENSUAMG00000002483
ursus_maritimus ENSUMAG00000006781
neovison_vison ENSNVIG00000022085
pan_troglodytes ENSPTRG00000044059
pan_paniscus ENSPPAG00000043637
gorilla_gorilla ENSGGOG00000037224
nomascus_leucogenys ENSNLEG00000032535
mandrillus_leucophaeus ENSMLEG00000031810
cercocebus_atys ENSCATG00000024074
macaca_fascicularis ENSMFAG00000038368
macaca_mulatta ENSMMUG00000043520
macaca_nemestrina ENSMNEG00000038049
papio_anubis ENSPANG00000034782
