saimiri_boliviensis_boliviensis ENSSBOG00000020758
piliocolobus_tephrosceles ENSPTEG00000007115
microtus_ochrogaster ENSMOCG00000009725
cricetulus_griseus_crigri ENSCGRG00000014433
castor_canadensis ENSCCNG00000019776
chinchilla_lanigera ENSCLAG00000006126
octodon_degus ENSODEG00000002387
cavia_aperea ENSCAPG00000015228
cavia_porcellus ENSCPOG00000040343
fukomys_damarensis ENSFDAG00000000673
otolemur_garnettii ENSOGAG00000025065
macaca_mulatta ENSMMUG00000040481
canis_lupus_familiaris ENSCAFG00000018440
tursiops_truncatus ENSTTRG00000004063
ornithorhynchus_anatinus ENSOANG00000021721
pygocentrus_nattereri ENSPNAG00000015879
astyanax_mexicanus ENSAMXG00000033153
ictalurus_punctatus ENSIPUG00000023649
danio_rerio ENSDARG00000053858
scleropages_formosus ENSSFOG00015020733
scleropages_formosus ENSSFOG00015002838
paramormyrops_kingsleyae ENSPKIG00000007047
lepisosteus_oculatus ENSLOCG00000013566
xiphophorus_couchianus ENSXCOG00000000687
xiphophorus_maculatus ENSXMAG00000015843
gambusia_affinis ENSGAFG00000018721
poecilia_mexicana ENSPMEG00000015903
fundulus_heteroclitus ENSFHEG00000001259
kryptolebias_marmoratus ENSKMAG00000013024
oryzias_melastigma ENSOMEG00000018080
amphiprion_ocellaris ENSAOCG00000019365
amphiprion_percula ENSAPEG00000010394
acanthochromis_polyacanthus ENSAPOG00000006025
seriola_dumerili ENSSDUG00000009845
mastacembelus_armatus ENSMAMG00000000278
mola_mola ENSMMOG00000011344
ciona_intestinalis ENSCING00000020443
caenorhabditis_elegans_strain_n2 WBGene00015216
caenorhabditis_elegans_strain_n2 WBGene00017644
