anas_platyrhynchos ENSAPLG00000023546
anser_brachyrhynchus ENSABRG00000001679
numida_meleagris ENSNMEG00000006520
numida_meleagris ENSNMEG00000004492
cyanistes_caeruleus ENSCCEG00000011146
parus_major ENSPMJG00000012508
lonchura_striata ENSLSDG00000014840
serinus_canaria ENSSCAG00000013452
calidris_pugnax ENSCPUG00000004576
melopsittacus_undulatus ENSMUNG00000010629
nothoprocta_perdicaria ENSNPEG00000009089
chelonoidis_abingdonii ENSCABG00000013666
gopherus_agassizii ENSGAGG00000022730
chrysemys_picta ENSCPBG00000019982
notechis_scutatus ENSNSUG00000000756
paramormyrops_kingsleyae ENSPKIG00000023311
