periophthalmus_magnuspinnatus ENSPMGG00000019737
hippocampus_comes ENSHCOG00000003532
amphiprion_ocellaris ENSAOCG00000022526
amphiprion_percula ENSAPEG00000001616
acanthochromis_polyacanthus ENSAPOG00000019304
stegastes_partitus ENSSPAG00000012690
poecilia_reticulata ENSPREG00000006190
poecilia_mexicana ENSPMEG00000019862
cyprinodon_variegatus ENSCVAG00000008841
fundulus_heteroclitus ENSFHEG00000017687
neolamprologus_brichardi ENSNBRG00000014555
oreochromis_niloticus ENSONIG00000001482
pundamilia_nyererei ENSPNYG00000002040
astatotilapia_calliptera ENSACLG00000014696
maylandia_zebra ENSMZEG00005003454
haplochromis_burtoni ENSHBUG00000020734
amphilophus_citrinellus ENSACIG00000000454
gasterosteus_aculeatus ENSGACG00000016755
anabas_testudineus ENSATEG00000006884
scophthalmus_maximus ENSSMAG00000007609
mastacembelus_armatus ENSMAMG00000014943
monopterus_albus ENSMALG00000003675
seriola_dumerili ENSSDUG00000007322
seriola_lalandi_dorsalis ENSSLDG00000021874
tetraodon_nigroviridis ENSTNIG00000002056
takifugu_rubripes ENSTRUG00000022348
pygocentrus_nattereri ENSPNAG00000022472
astyanax_mexicanus ENSAMXG00000035297
ictalurus_punctatus ENSIPUG00000000216
danio_rerio ENSDARG00000089368
paramormyrops_kingsleyae ENSPKIG00000015707
paramormyrops_kingsleyae ENSPKIG00000018333
scleropages_formosus ENSSFOG00015001991
esox_lucius ENSELUG00000022450
lepisosteus_oculatus ENSLOCG00000009539
anolis_carolinensis ENSACAG00000002598
notechis_scutatus ENSNSUG00000007796
salvator_merianae ENSSMRG00000005979
sphenodon_punctatus ENSSPUG00000018258
chelonoidis_abingdonii ENSCABG00000008518
gopherus_agassizii ENSGAGG00000001606
chrysemys_picta_bellii ENSCPBG00000027180
pelodiscus_sinensis ENSPSIG00000003195
apteryx_owenii ENSAOWG00000001739
apteryx_haastii ENSAHAG00000011495
apteryx_rowi ENSARWG00000014862
dromaius_novaehollandiae ENSDNVG00000014090
nothoprocta_perdicaria ENSNPEG00000016203
calidris_pugnax ENSCPUG00000009818
calidris_pygmaea ENSCPGG00000005368
meleagris_gallopavo ENSMGAG00000008600
gallus_gallus ENSGALG00000011404
coturnix_japonica ENSCJPG00005010631
numida_meleagris ENSNMEG00000018864
anser_brachyrhynchus ENSABRG00000008060
lepidothrix_coronata ENSLCOG00000004172
manacus_vitellinus ENSMVIG00005015003
parus_major ENSPMJG00000010469
cyanistes_caeruleus ENSCCEG00000011931
zonotrichia_albicollis ENSZALG00000004631
junco_hyemalis ENSJHYG00000009300
serinus_canaria ENSSCAG00000012287
lonchura_striata_domestica ENSLSDG00000004965
ficedula_albicollis ENSFALG00000006737
melopsittacus_undulatus ENSMUNG00000010831
equus_asinus_asinus ENSEASG00005017740
equus_caballus ENSECAG00000029287
bos_mutus ENSBMUG00000006965
bos_taurus ENSBTAG00000002333
bison_bison_bison ENSBBBG00000007279
capra_hircus ENSCHIG00000005024
ovis_aries ENSOARG00000004859
dasypus_novemcinctus ENSDNOG00000002375
loxodonta_africana ENSLAFG00000031146
tursiops_truncatus ENSTTRG00000012653
pteropus_vampyrus ENSPVAG00000017263
ochotona_princeps ENSOPRG00000012573
theropithecus_gelada ENSTGEG00000021403
papio_anubis ENSPANG00000007783
macaca_fascicularis ENSMFAG00000006576
mandrillus_leucophaeus ENSMLEG00000032976
rhinopithecus_bieti ENSRBIG00000028439
rhinopithecus_roxellana ENSRROG00000030617
pan_paniscus ENSPPAG00000029565
pan_troglodytes ENSPTRG00000016084
gorilla_gorilla ENSGGOG00000004631
homo_sapiens ENSG00000171476
cercocebus_atys ENSCATG00000032783
colobus_angolensis_palliatus ENSCANG00000042026
piliocolobus_tephrosceles ENSPTEG00000007110
macaca_mulatta ENSMMUG00000017788
macaca_nemestrina ENSMNEG00000037886
procavia_capensis ENSPCAG00000003264
choloepus_hoffmanni ENSCHOG00000000559
pongo_abelii ENSPPYG00000014749
nomascus_leucogenys ENSNLEG00000033904
cercocebus_atys ENSCATG00000033564
chlorocebus_sabaeus ENSCSAG00000005112
cebus_capucinus ENSCCAG00000015795
saimiri_boliviensis_boliviensis ENSSBOG00000017553
callithrix_jacchus ENSCJAG00000045806
aotus_nancymaae ENSANAG00000024338
castor_canadensis ENSCCNG00000007181
dipodomys_ordii ENSDORG00000006272
ictidomys_tridecemlineatus ENSSTOG00000007356
marmota_marmota_marmota ENSMMMG00000021270
urocitellus_parryii ENSUPAG00010000088
propithecus_coquereli ENSPCOG00000020272
prolemur_simus ENSPSMG00000019432
microcebus_murinus ENSMICG00000026936
heterocephalus_glaber_male ENSHGLG00100006911
heterocephalus_glaber_female ENSHGLG00000008232
fukomys_damarensis ENSFDAG00000018171
cavia_porcellus ENSCPOG00000032872
octodon_degus ENSODEG00000010206
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027326
mus_musculus ENSMUSG00000059325
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028320
mus_spicilegus ENSMSIG00000020387
mus_pahari MGP_PahariEiJ_G0017106
rattus_norvegicus ENSRNOG00000024689
meriones_unguiculatus ENSMUGG00000027108
peromyscus_maniculatus_bairdii ENSPEMG00000029207
microtus_ochrogaster ENSMOCG00000018478
cricetulus_griseus_crigri-picr ENSCGRG00015008243
cricetulus_griseus_chok1gshd ENSCGRG00001009595
mesocricetus_auratus ENSMAUG00000000923
nannospalax_galili ENSNGAG00000005421
jaculus_jaculus ENSJJAG00000018575
oryctolagus_cuniculus ENSOCUG00000005107
felis_catus ENSFCAG00000032905
panthera_pardus ENSPPRG00000024713
canis_lupus_familiaris ENSCAFG00000031330
canis_lupus_dingo ENSCAFG00020027323
vulpes_vulpes ENSVVUG00000006003
ailuropoda_melanoleuca ENSAMEG00000008534
neovison_vison ENSNVIG00000015104
sus_scrofa ENSSSCG00000008898
monodelphis_domestica ENSMODG00000020701
phascolarctos_cinereus ENSPCIG00000000837
ornithorhynchus_anatinus ENSOANG00000008560
xenopus_tropicalis ENSXETG00000010212
latimeria_chalumnae ENSLACG00000003420
caenorhabditis_elegans_strain_n2 WBGene00009231
