poecilia_latipinna ENSPLAG00000002975
xiphophorus_couchianus ENSXCOG00000003169
cyprinodon_variegatus ENSCVAG00000011452
stegastes_partitus ENSSPAG00000005797
amphilophus_citrinellus ENSACIG00000012191
seriola_dumerili ENSSDUG00000004390
periophthalmus_magnuspinnatus ENSPMGG00000014264
astyanax_mexicanus ENSAMXG00000040456
castor_canadensis ENSCCNG00000029703
octodon_degus ENSODEG00000002796
chlorocebus_sabaeus ENSCSAG00000001379
papio_anubis ENSPANG00000029496
ornithorhynchus_anatinus ENSOANG00000009905
parus_major ENSPMJG00000013051
zonotrichia_albicollis ENSZALG00000011755
taeniopygia_guttata ENSTGUG00000010351
apteryx_haastii ENSAHAG00000006877
sphenodon_punctatus ENSSPUG00000016434
