microcebus_murinus ENSMICG00000007503
propithecus_coquereli ENSPCOG00000021801
prolemur_simus ENSPSMG00000025625
nomascus_leucogenys ENSNLEG00000001420
pongo_abelii ENSPPYG00000008589
pan_troglodytes ENSPTRG00000009598
pan_paniscus ENSPPAG00000037000
gorilla_gorilla ENSGGOG00000026659
homo_sapiens ENSG00000187959
rhinopithecus_roxellana ENSRROG00000037051
rhinopithecus_bieti ENSRBIG00000029048
piliocolobus_tephrosceles ENSPTEG00000001682
colobus_angolensis ENSCANG00000035042
papio_anubis ENSPANG00000020331
theropithecus_gelada ENSTGEG00000026885
macaca_mulatta ENSMMUG00000001271
macaca_nemestrina ENSMNEG00000045419
macaca_fascicularis ENSMFAG00000037840
mandrillus_leucophaeus ENSMLEG00000038527
cercocebus_atys ENSCATG00000044555
chlorocebus_sabaeus ENSCSAG00000004429
cebus_capucinus ENSCCAG00000030566
saimiri_boliviensis ENSSBOG00000033940
callithrix_jacchus ENSCJAG00000019911
aotus_nancymaae ENSANAG00000026558
carlito_syrichta ENSTSYG00000025740
ictidomys_tridecemlineatus ENSSTOG00000001849
urocitellus_parryii ENSUPAG00010002597
spermophilus_dauricus ENSSDAG00000023093
marmota_marmota ENSMMMG00000010227
mus_spretus MGP_SPRETEiJ_G0018215
mus_spicilegus ENSMSIG00000010651
mus_musculus ENSMUSG00000018727
mus_caroli MGP_CAROLIEiJ_G0017369
rattus_norvegicus ENSRNOG00000056582
meriones_unguiculatus ENSMUGG00000022100
cricetulus_griseus ENSCGRG00000010419
cricetulus_griseus ENSCGRG00001020079
cricetulus_griseus ENSCGRG00015011139
mesocricetus_auratus ENSMAUG00000019519
microtus_ochrogaster ENSMOCG00000015313
peromyscus_maniculatus ENSPEMG00000011680
nannospalax_galili ENSNGAG00000009325
cavia_aperea ENSCAPG00000012867
ochotona_princeps ENSOPRG00000007484
oryctolagus_cuniculus ENSOCUG00000026495
equus_caballus ENSECAG00000024813
equus_asinus ENSEASG00005018763
myotis_lucifugus ENSMLUG00000009617
neovison_vison ENSNVIG00000009367
mustela_putorius ENSMPUG00000014276
ailuropoda_melanoleuca ENSAMEG00000002707
canis_lupus ENSCAFG00020021525
felis_catus ENSFCAG00000004745
ursus_americanus ENSUAMG00000007728
ursus_maritimus ENSUMAG00000007869
vulpes_vulpes ENSVVUG00000009703
panthera_tigris ENSPTIG00000012676
panthera_pardus ENSPPRG00000001058
felis_catus ENSFCAG00000049406
sus_scrofa ENSSSCG00000040611
tupaia_belangeri ENSTBEG00000012716
mus_pahari MGP_PahariEiJ_G0018499
tursiops_truncatus ENSTTRG00000005243
capra_hircus ENSCHIG00000021990
pteropus_vampyrus ENSPVAG00000006736
dasypus_novemcinctus ENSDNOG00000014458
loxodonta_africana ENSLAFG00000010697
vombatus_ursinus ENSVURG00010012322
phascolarctos_cinereus ENSPCIG00000001889
notamacropus_eugenii ENSMEUG00000004051
monodelphis_domestica ENSMODG00000025672
monodelphis_domestica ENSMODG00000041022
serinus_canaria ENSSCAG00000013396
junco_hyemalis ENSJHYG00000001576
anas_platyrhynchos ENSAPLG00000022954
