caenorhabditis_elegans WBGene00016412
drosophila_melanogaster FBgn0036774
petromyzon_marinus ENSPMAG00000000253
eptatretus_burgeri ENSEBUG00000011417
salvator_merianae ENSSMRG00000017837
notechis_scutatus ENSNSUG00000008694
sphenodon_punctatus ENSSPUG00000008616
gallus_gallus ENSGALG00000014118
coturnix_japonica ENSCJPG00005007569
meleagris_gallopavo ENSMGAG00000013227
numida_meleagris ENSNMEG00000005155
anser_brachyrhynchus ENSABRG00000015014
anas_platyrhynchos ENSAPLG00000004115
calidris_pugnax ENSCPUG00000008825
calidris_pygmaea ENSCPGG00000015753
cyanistes_caeruleus ENSCCEG00000006315
taeniopygia_guttata ENSTGUG00000010977
lonchura_striata ENSLSDG00000001583
parus_major ENSPMJG00000018541
ficedula_albicollis ENSFALG00000000213
zonotrichia_albicollis ENSZALG00000007627
junco_hyemalis ENSJHYG00000004521
serinus_canaria ENSSCAG00000009999
manacus_vitellinus ENSMVIG00005015861
lepidothrix_coronata ENSLCOG00000006915
apteryx_owenii ENSAOWG00000004622
apteryx_haastii ENSAHAG00000006284
apteryx_rowi ENSARWG00000018263
dromaius_novaehollandiae ENSDNVG00000016143
nothoprocta_perdicaria ENSNPEG00000006985
crocodylus_porosus ENSCPRG00005018832
gopherus_agassizii ENSGAGG00000016897
chelonoidis_abingdonii ENSCABG00000010659
chrysemys_picta ENSCPBG00000024567
pelodiscus_sinensis ENSPSIG00000016604
castor_canadensis ENSCCNG00000020908
dipodomys_ordii ENSDORG00000012900
chinchilla_lanigera ENSCLAG00000011719
octodon_degus ENSODEG00000004501
cavia_porcellus ENSCPOG00000037912
heterocephalus_glaber ENSHGLG00100012471
heterocephalus_glaber ENSHGLG00000014224
fukomys_damarensis ENSFDAG00000012758
ictidomys_tridecemlineatus ENSSTOG00000026786
urocitellus_parryii ENSUPAG00010023390
marmota_marmota ENSMMMG00000023906
mus_spretus MGP_SPRETEiJ_G0025225
mus_spicilegus ENSMSIG00000013383
mus_musculus ENSMUSG00000037740
mus_caroli MGP_CAROLIEiJ_G0024305
mus_pahari MGP_PahariEiJ_G0025750
rattus_norvegicus ENSRNOG00000021224
meriones_unguiculatus ENSMUGG00000008135
cricetulus_griseus ENSCGRG00001018911
cricetulus_griseus ENSCGRG00000012015
cricetulus_griseus ENSCGRG00015013354
mesocricetus_auratus ENSMAUG00000019571
microtus_ochrogaster ENSMOCG00000016053
peromyscus_maniculatus ENSPEMG00000010334
nannospalax_galili ENSNGAG00000013778
jaculus_jaculus ENSJJAG00000021092
sorex_araneus ENSSARG00000013325
ursus_maritimus ENSUMAG00000002754
propithecus_coquereli ENSPCOG00000021945
prolemur_simus ENSPSMG00000017831
microcebus_murinus ENSMICG00000013793
otolemur_garnettii ENSOGAG00000025385
homo_sapiens ENSG00000125901
pan_troglodytes ENSPTRG00000013188
