gambusia_affinis ENSGAFG00000001636
xiphophorus_maculatus ENSXMAG00000016717
poecilia_formosa ENSPFOG00000002667
poecilia_latipinna ENSPLAG00000002360
poecilia_mexicana ENSPMEG00000004788
poecilia_reticulata ENSPREG00000004494
fundulus_heteroclitus ENSFHEG00000014642
cyprinodon_variegatus ENSCVAG00000000364
kryptolebias_marmoratus ENSKMAG00000017492
oryzias_latipes ENSORLG00000002449
oryzias_latipes_asm223469v1 ENSORLG00015014185
oryzias_latipes ENSORLG00020019735
oryzias_melastigma ENSOMEG00000009126
amphiprion_ocellaris ENSAOCG00000010633
amphiprion_percula ENSAPEG00000019212
acanthochromis_polyacanthus ENSAPOG00000020937
stegastes_partitus ENSSPAG00000009923
astatotilapia_calliptera ENSACLG00000006938
maylandia_zebra ENSMZEG00005022022
pundamilia_nyererei ENSPNYG00000009168
haplochromis_burtoni ENSHBUG00000021011
neolamprologus_brichardi ENSNBRG00000020233
oreochromis_niloticus ENSONIG00000001641
monopterus_albus ENSMALG00000006943
mastacembelus_armatus ENSMAMG00000016603
mola_mola ENSMMOG00000013186
takifugu_rubripes ENSTRUG00000007644
labrus_bergylta ENSLBEG00000020459
anabas_testudineus ENSATEG00000000742
gasterosteus_aculeatus ENSGACG00000004361
seriola_dumerili ENSSDUG00000018409
seriola_lalandi_dorsalis ENSSLDG00000015727
cynoglossus_semilaevis ENSCSEG00000002995
hippocampus_comes ENSHCOG00000007548
tetraodon_nigroviridis ENSTNIG00000001879
tetraodon_nigroviridis ENSTNIG00000019837
periophthalmus_magnuspinnatus ENSPMGG00000004956
gadus_morhua ENSGMOG00000003091
esox_lucius ENSELUG00000009535
pygocentrus_nattereri ENSPNAG00000016875
astyanax_mexicanus ENSAMXG00000003567
ictalurus_punctatus ENSIPUG00000010793
danio_rerio ENSDARG00000012513
paramormyrops_kingsleyae ENSPKIG00000007488
scleropages_formosus ENSSFOG00015017396
pygocentrus_nattereri ENSPNAG00000020907
astyanax_mexicanus ENSAMXG00000017409
ictalurus_punctatus ENSIPUG00000016607
danio_rerio ENSDARG00000030097
eptatretus_burgeri ENSEBUG00000005339
ciona_intestinalis ENSCING00000007374
ciona_savignyi ENSCSAVG00000007916
