periophthalmus_magnuspinnatus ENSPMGG00000000426
xenopus_tropicalis ENSXETG00000009644
monopterus_albus ENSMALG00000006760
mastacembelus_armatus ENSMAMG00000000594
cynoglossus_semilaevis ENSCSEG00000007277
seriola_dumerili ENSSDUG00000013059
seriola_lalandi_dorsalis ENSSLDG00000014454
scophthalmus_maximus ENSSMAG00000015972
anabas_testudineus ENSATEG00000009744
labrus_bergylta ENSLBEG00000018788
gasterosteus_aculeatus ENSGACG00000014146
tetraodon_nigroviridis ENSTNIG00000001091
takifugu_rubripes ENSTRUG00000019679
mola_mola ENSMMOG00000015362
xiphophorus_couchianus ENSXCOG00000017818
xiphophorus_maculatus ENSXMAG00000021952
gambusia_affinis ENSGAFG00000003030
poecilia_mexicana ENSPMEG00000015665
poecilia_formosa ENSPFOG00000008898
poecilia_latipinna ENSPLAG00000023078
poecilia_reticulata ENSPREG00000002039
fundulus_heteroclitus ENSFHEG00000019520
kryptolebias_marmoratus ENSKMAG00000012951
oryzias_latipes ENSORLG00020002118
oryzias_latipes_asm223469v1 ENSORLG00015004348
oryzias_latipes ENSORLG00000000656
oryzias_melastigma ENSOMEG00000009666
maylandia_zebra ENSMZEG00005023767
astatotilapia_calliptera ENSACLG00000010263
oreochromis_niloticus ENSONIG00000014629
neolamprologus_brichardi ENSNBRG00000023576
amphilophus_citrinellus ENSACIG00000002556
amphiprion_ocellaris ENSAOCG00000006546
amphiprion_percula ENSAPEG00000000246
acanthochromis_polyacanthus ENSAPOG00000008288
stegastes_partitus ENSSPAG00000012545
hippocampus_comes ENSHCOG00000006107
gadus_morhua ENSGMOG00000004231
esox_lucius ENSELUG00000002671
pygocentrus_nattereri ENSPNAG00000013149
astyanax_mexicanus ENSAMXG00000002916
danio_rerio ENSDARG00000038976
scleropages_formosus ENSSFOG00015017447
paramormyrops_kingsleyae ENSPKIG00000016945
lepisosteus_oculatus ENSLOCG00000014112
phascolarctos_cinereus ENSPCIG00000024115
monodelphis_domestica ENSMODG00000010358
sarcophilus_harrisii ENSSHAG00000010975
propithecus_coquereli ENSPCOG00000020644
prolemur_simus ENSPSMG00000000684
microcebus_murinus ENSMICG00000034171
otolemur_garnettii ENSOGAG00000028484
pan_paniscus ENSPPAG00000035027
pan_troglodytes ENSPTRG00000045629
homo_sapiens ENSG00000090470
gorilla_gorilla ENSGGOG00000005814
pongo_abelii ENSPPYG00000006562
nomascus_leucogenys ENSNLEG00000012628
macaca_mulatta ENSMMUG00000006297
macaca_nemestrina ENSMNEG00000033283
macaca_fascicularis ENSMFAG00000031997
theropithecus_gelada ENSTGEG00000023202
papio_anubis ENSPANG00000016743
cercocebus_atys ENSCATG00000032985
chlorocebus_sabaeus ENSCSAG00000012751
