acanthochromis_polyacanthus ENSAPOG00000004486
amphiprion_ocellaris ENSAOCG00000007118
poecilia_mexicana ENSPMEG00000007073
poecilia_reticulata ENSPREG00000016592
xiphophorus_couchianus ENSXCOG00000003123
oryzias_melastigma ENSOMEG00000020940
gadus_morhua ENSGMOG00000019262
astyanax_mexicanus ENSAMXG00000030971
gambusia_affinis ENSGAFG00000020800
xiphophorus_maculatus ENSXMAG00000012628
poecilia_latipinna ENSPLAG00000022961
poecilia_formosa ENSPFOG00000004814
cyprinodon_variegatus ENSCVAG00000020930
fundulus_heteroclitus ENSFHEG00000017279
kryptolebias_marmoratus ENSKMAG00000021885
amphiprion_percula ENSAPEG00000003272
cynoglossus_semilaevis ENSCSEG00000019675
scophthalmus_maximus ENSSMAG00000007999
takifugu_rubripes ENSTRUG00000022639
periophthalmus_magnuspinnatus ENSPMGG00000022266
maylandia_zebra ENSMZEG00005007192
astatotilapia_calliptera ENSACLG00000017360
haplochromis_burtoni ENSHBUG00000001571
pundamilia_nyererei ENSPNYG00000002744
neolamprologus_brichardi ENSNBRG00000002667
oreochromis_niloticus ENSONIG00000019759
amphilophus_citrinellus ENSACIG00000006544
labrus_bergylta ENSLBEG00000025557
seriola_lalandi_dorsalis ENSSLDG00000008211
seriola_dumerili ENSSDUG00000008483
stegastes_partitus ENSSPAG00000009694
monopterus_albus ENSMALG00000009579
mastacembelus_armatus ENSMAMG00000004442
anabas_testudineus ENSATEG00000009282
oryzias_latipes ENSORLG00000027577
oryzias_latipes_asm223469v1 ENSORLG00015000156
oryzias_latipes ENSORLG00020006587
oryzias_melastigma ENSOMEG00000007976
mola_mola ENSMMOG00000003522
hippocampus_comes ENSHCOG00000015178
tetraodon_nigroviridis ENSTNIG00000012924
esox_lucius ENSELUG00000019189
astyanax_mexicanus ENSAMXG00000008619
pygocentrus_nattereri ENSPNAG00000011896
ictalurus_punctatus ENSIPUG00000001708
danio_rerio ENSDARG00000077317
paramormyrops_kingsleyae ENSPKIG00000022833
scleropages_formosus ENSSFOG00015011404
lepisosteus_oculatus ENSLOCG00000007467
phascolarctos_cinereus ENSPCIG00000029171
notamacropus_eugenii ENSMEUG00000009808
sarcophilus_harrisii ENSSHAG00000008175
monodelphis_domestica ENSMODG00000004747
equus_caballus ENSECAG00000019606
equus_asinus_asinus ENSEASG00005011453
pteropus_vampyrus ENSPVAG00000005003
vicugna_pacos ENSVPAG00000011924
sus_scrofa ENSSSCG00000037232
bos_mutus ENSBMUG00000015258
bos_taurus ENSBTAG00000026371
bison_bison_bison ENSBBBG00000007195
capra_hircus ENSCHIG00000022008
ovis_aries ENSOARG00000007156
tursiops_truncatus ENSTTRG00000002655
myotis_lucifugus ENSMLUG00000016386
canis_lupus_dingo ENSCAFG00020024180
canis_lupus_familiaris ENSCAFG00000018849
vulpes_vulpes ENSVVUG00000019366
mustela_putorius_furo ENSMPUG00000014498
neovison_vison ENSNVIG00000021513
ursus_maritimus ENSUMAG00000004359
ailuropoda_melanoleuca ENSAMEG00000009618
panthera_tigris_altaica ENSPTIG00000019287
panthera_pardus ENSPPRG00000000569
felis_catus ENSFCAG00000010119
erinaceus_europaeus ENSEEUG00000005616
sorex_araneus ENSSARG00000014448
cebus_capucinus ENSCCAG00000022522
saimiri_boliviensis_boliviensis ENSSBOG00000034854
aotus_nancymaae ENSANAG00000020433
callithrix_jacchus ENSCJAG00000016010
pan_troglodytes ENSPTRG00000007956
pan_paniscus ENSPPAG00000037848
homo_sapiens ENSG00000048471
gorilla_gorilla ENSGGOG00000040079
pongo_abelii ENSPPYG00000007117
mandrillus_leucophaeus ENSMLEG00000040183
cercocebus_atys ENSCATG00000043072
papio_anubis ENSPANG00000014214
theropithecus_gelada ENSTGEG00000025410
macaca_fascicularis ENSMFAG00000001788
macaca_mulatta ENSMMUG00000022897
macaca_nemestrina ENSMNEG00000036610
chlorocebus_sabaeus ENSCSAG00000008198
rhinopithecus_roxellana ENSRROG00000032394
rhinopithecus_bieti ENSRBIG00000035839
colobus_angolensis_palliatus ENSCANG00000039922
piliocolobus_tephrosceles ENSPTEG00000022406
carlito_syrichta ENSTSYG00000035461
propithecus_coquereli ENSPCOG00000021604
prolemur_simus ENSPSMG00000004912
microcebus_murinus ENSMICG00000014205
tupaia_belangeri ENSTBEG00000007003
castor_canadensis ENSCCNG00000027162
dipodomys_ordii ENSDORG00000001565
ictidomys_tridecemlineatus ENSSTOG00000027341
urocitellus_parryii ENSUPAG00010012649
spermophilus_dauricus ENSSDAG00000019646
marmota_marmota_marmota ENSMMMG00000018829
mus_spicilegus ENSMSIG00000008788
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021355
mus_musculus ENSMUSG00000071669
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020460
mus_pahari MGP_PahariEiJ_G0016167
rattus_norvegicus ENSRNOG00000002294
meriones_unguiculatus ENSMUGG00000020819
cricetulus_griseus_chok1gshd ENSCGRG00001004219
cricetulus_griseus_crigri ENSCGRG00000007317
cricetulus_griseus_crigri-picr ENSCGRG00015008236
peromyscus_maniculatus_bairdii ENSPEMG00000016294
microtus_ochrogaster ENSMOCG00000006809
nannospalax_galili ENSNGAG00000015759
jaculus_jaculus ENSJJAG00000018086
heterocephalus_glaber_female ENSHGLG00000012310
heterocephalus_glaber_male ENSHGLG00100013701
fukomys_damarensis ENSFDAG00000005870
chinchilla_lanigera ENSCLAG00000013571
octodon_degus ENSODEG00000001873
cavia_porcellus ENSCPOG00000014559
cavia_aperea ENSCAPG00000014480
oryctolagus_cuniculus ENSOCUG00000017079
ochotona_princeps ENSOPRG00000014286
choloepus_hoffmanni ENSCHOG00000005067
dasypus_novemcinctus ENSDNOG00000013594
loxodonta_africana ENSLAFG00000000072
procavia_capensis ENSPCAG00000004671
echinops_telfairi ENSETEG00000014357
ornithorhynchus_anatinus ENSOANG00000028467
parus_major ENSPMJG00000010449
cyanistes_caeruleus ENSCCEG00000008838
ficedula_albicollis ENSFALG00000003888
taeniopygia_guttata ENSTGUG00000005092
lonchura_striata_domestica ENSLSDG00000013874
serinus_canaria ENSSCAG00000011553
junco_hyemalis ENSJHYG00000017287
zonotrichia_albicollis ENSZALG00000015956
manacus_vitellinus ENSMVIG00005004857
lepidothrix_coronata ENSLCOG00000006164
melopsittacus_undulatus ENSMUNG00000005140
calidris_pugnax ENSCPUG00000016837
calidris_pygmaea ENSCPGG00000018624
anser_brachyrhynchus ENSABRG00000022619
anas_platyrhynchos_platyrhynchos ENSAPLG00000004050
gallus_gallus ENSGALG00000039855
coturnix_japonica ENSCJPG00005013484
meleagris_gallopavo ENSMGAG00000000919
numida_meleagris ENSNMEG00000005732
apteryx_owenii ENSAOWG00000003215
apteryx_rowi ENSARWG00000004542
apteryx_haastii ENSAHAG00000017744
dromaius_novaehollandiae ENSDNVG00000017122
crocodylus_porosus ENSCPRG00005004020
gopherus_agassizii ENSGAGG00000022508
chelonoidis_abingdonii ENSCABG00000010782
chrysemys_picta_bellii ENSCPBG00000021748
pelodiscus_sinensis ENSPSIG00000017153
anolis_carolinensis ENSACAG00000012465
pogona_vitticeps ENSPVIG00000019361
notechis_scutatus ENSNSUG00000001265
salvator_merianae ENSSMRG00000004637
sphenodon_punctatus ENSSPUG00000007570
apteryx_haastii ENSAHAG00000006755
nothoprocta_perdicaria ENSNPEG00000014769
ornithorhynchus_anatinus ENSOANG00000020577
ursus_americanus ENSUAMG00000003681
xenopus_tropicalis ENSXETG00000005543
ursus_maritimus ENSUMAG00000004350
petromyzon_marinus ENSPMAG00000006209
eptatretus_burgeri ENSEBUG00000016844
