astatotilapia_calliptera ENSACLG00000002783
maylandia_zebra ENSMZEG00005020473
pundamilia_nyererei ENSPNYG00000005826
haplochromis_burtoni ENSHBUG00000005522
neolamprologus_brichardi ENSNBRG00000017219
amphilophus_citrinellus ENSACIG00000007507
kryptolebias_marmoratus ENSKMAG00000003897
amphiprion_percula ENSAPEG00000019201
amphiprion_ocellaris ENSAOCG00000021849
acanthochromis_polyacanthus ENSAPOG00000012020
stegastes_partitus ENSSPAG00000005055
oryzias_melastigma ENSOMEG00000022630
periophthalmus_magnuspinnatus ENSPMGG00000011895
periophthalmus_magnuspinnatus ENSPMGG00000005648
monopterus_albus ENSMALG00000008841
mastacembelus_armatus ENSMAMG00000016239
anabas_testudineus ENSATEG00000008002
scophthalmus_maximus ENSSMAG00000014583
cynoglossus_semilaevis ENSCSEG00000015787
seriola_dumerili ENSSDUG00000019242
seriola_lalandi_dorsalis ENSSLDG00000001768
gasterosteus_aculeatus ENSGACG00000014315
labrus_bergylta ENSLBEG00000016857
takifugu_rubripes ENSTRUG00000020054
takifugu_rubripes ENSTRUG00000023322
tetraodon_nigroviridis ENSTNIG00000015364
mola_mola ENSMMOG00000014424
