chrysemys_picta ENSCPBG00000024448
chelonoidis_abingdonii ENSCABG00000019073
apteryx_owenii ENSAOWG00000019227
apteryx_rowi ENSARWG00000005578
apteryx_haastii ENSAHAG00000007389
dromaius_novaehollandiae ENSDNVG00000002220
nothoprocta_perdicaria ENSNPEG00000015824
anser_brachyrhynchus ENSABRG00000021120
anas_platyrhynchos ENSAPLG00000019370
gallus_gallus ENSGALG00000046858
coturnix_japonica ENSCJPG00005006879
calidris_pygmaea ENSCPGG00000015437
calidris_pugnax ENSCPUG00000004457
junco_hyemalis ENSJHYG00000005123
parus_major ENSPMJG00000018659
lonchura_striata ENSLSDG00000013253
lepidothrix_coronata ENSLCOG00000007793
pogona_vitticeps ENSPVIG00000003686
anolis_carolinensis ENSACAG00000000558
notechis_scutatus ENSNSUG00000003367
salvator_merianae ENSSMRG00000015202
sphenodon_punctatus ENSSPUG00000016615
ursus_maritimus ENSUMAG00000001571
ursus_americanus ENSUAMG00000021708
ailuropoda_melanoleuca ENSAMEG00000017230
mustela_putorius ENSMPUG00000008051
neovison_vison ENSNVIG00000020242
canis_lupus ENSCAFG00000008478
canis_lupus ENSCAFG00020014062
vulpes_vulpes ENSVVUG00000004467
panthera_pardus ENSPPRG00000008070
panthera_tigris ENSPTIG00000011139
felis_catus ENSFCAG00000031104
equus_caballus ENSECAG00000002048
equus_asinus ENSEASG00005010607
myotis_lucifugus ENSMLUG00000002652
pteropus_vampyrus ENSPVAG00000013957
bos_taurus ENSBTAG00000001844
bos_mutus ENSBMUG00000012910
bison_bison ENSBBBG00000020580
capra_hircus ENSCHIG00000025527
ovis_aries ENSOARG00000012692
tursiops_truncatus ENSTTRG00000012718
sus_scrofa ENSSSCG00000022786
erinaceus_europaeus ENSEEUG00000013251
pan_paniscus ENSPPAG00000021139
pan_troglodytes ENSPTRG00000012089
gorilla_gorilla ENSGGOG00000037551
homo_sapiens ENSG00000115275
pongo_abelii ENSPPYG00000012274
nomascus_leucogenys ENSNLEG00000000658
piliocolobus_tephrosceles ENSPTEG00000036270
colobus_angolensis ENSCANG00000042504
rhinopithecus_roxellana ENSRROG00000002942
rhinopithecus_bieti ENSRBIG00000038267
papio_anubis ENSPANG00000025371
theropithecus_gelada ENSTGEG00000017321
cercocebus_atys ENSCATG00000043762
mandrillus_leucophaeus ENSMLEG00000032554
macaca_fascicularis ENSMFAG00000042316
macaca_nemestrina ENSMNEG00000042799
macaca_mulatta ENSMMUG00000002726
chlorocebus_sabaeus ENSCSAG00000015611
