poecilia_mexicana ENSPMEG00000023692
poecilia_formosa ENSPFOG00000017101
poecilia_latipinna ENSPLAG00000015088
poecilia_reticulata ENSPREG00000011918
xiphophorus_couchianus ENSXCOG00000009356
xiphophorus_maculatus ENSXMAG00000013353
gambusia_affinis ENSGAFG00000016251
cyprinodon_variegatus ENSCVAG00000021573
kryptolebias_marmoratus ENSKMAG00000013670
oreochromis_niloticus ENSONIG00000013958
mola_mola ENSMMOG00000008698
cynoglossus_semilaevis ENSCSEG00000009205
cynoglossus_semilaevis ENSCSEG00000011154
oryzias_latipes ENSORLG00020014865
oryzias_latipes_asm223469v1 ENSORLG00015005820
oryzias_latipes ENSORLG00000017237
oryzias_melastigma ENSOMEG00000003351
periophthalmus_magnuspinnatus ENSPMGG00000017654
gadus_morhua ENSGMOG00000011659
esox_lucius ENSELUG00000022688
esox_lucius ENSELUG00000005136
astyanax_mexicanus ENSAMXG00000038560
dipodomys_ordii ENSDORG00000026076
octodon_degus ENSODEG00000004776
nannospalax_galili ENSNGAG00000001935
apteryx_rowi ENSARWG00000010846
dromaius_novaehollandiae ENSDNVG00000013119
calidris_pugnax ENSCPUG00000007472
crocodylus_porosus ENSCPRG00005011654
chrysemys_picta_bellii ENSCPBG00000010898
ciona_intestinalis ENSCING00000017560
ciona_savignyi ENSCSAVG00000009535
drosophila_melanogaster FBgn0015299
