anolis_carolinensis ENSACAG00000008788
pogona_vitticeps ENSPVIG00000013888
salvator_merianae ENSSMRG00000017441
xenopus_tropicalis ENSXETG00000022357
pygocentrus_nattereri ENSPNAG00000016205
astyanax_mexicanus ENSAMXG00000031381
ictalurus_punctatus ENSIPUG00000006353
danio_rerio ENSDARG00000044751
pundamilia_nyererei ENSPNYG00000005145
astatotilapia_calliptera ENSACLG00000019041
maylandia_zebra ENSMZEG00005001156
haplochromis_burtoni ENSHBUG00000007347
neolamprologus_brichardi ENSNBRG00000010461
oreochromis_niloticus ENSONIG00000018148
amphilophus_citrinellus ENSACIG00000015354
anabas_testudineus ENSATEG00000002686
scophthalmus_maximus ENSSMAG00000013607
hippocampus_comes ENSHCOG00000001586
monopterus_albus ENSMALG00000010893
mastacembelus_armatus ENSMAMG00000003566
labrus_bergylta ENSLBEG00000025250
takifugu_rubripes ENSTRUG00000012618
poecilia_latipinna ENSPLAG00000003080
poecilia_latipinna ENSPLAG00000001893
poecilia_formosa ENSPFOG00000012202
poecilia_mexicana ENSPMEG00000022462
poecilia_reticulata ENSPREG00000000981
gambusia_affinis ENSGAFG00000010673
xiphophorus_couchianus ENSXCOG00000015299
fundulus_heteroclitus ENSFHEG00000010781
cyprinodon_variegatus ENSCVAG00000010285
kryptolebias_marmoratus ENSKMAG00000001425
oryzias_latipes ENSORLG00000010973
oryzias_latipes ENSORLG00020006750
oryzias_latipes ENSORLG00015005746
oryzias_melastigma ENSOMEG00000014985
seriola_dumerili ENSSDUG00000023767
seriola_lalandi ENSSLDG00000020854
mola_mola ENSMMOG00000014645
amphiprion_ocellaris ENSAOCG00000013306
amphiprion_percula ENSAPEG00000020816
acanthochromis_polyacanthus ENSAPOG00000021817
stegastes_partitus ENSSPAG00000021143
periophthalmus_magnuspinnatus ENSPMGG00000014136
periophthalmus_magnuspinnatus ENSPMGG00000004969
gadus_morhua ENSGMOG00000016600
esox_lucius ENSELUG00000000924
paramormyrops_kingsleyae ENSPKIG00000015164
scleropages_formosus ENSSFOG00015014070
lepisosteus_oculatus ENSLOCG00000006603
