notechis_scutatus ENSNSUG00000000326
anolis_carolinensis ENSACAG00000000211
calidris_pygmaea ENSCPGG00000018368
calidris_pugnax ENSCPUG00000004398
melopsittacus_undulatus ENSMUNG00000001702
taeniopygia_guttata ENSTGUG00000005542
lonchura_striata_domestica ENSLSDG00000005936
junco_hyemalis ENSJHYG00000008494
zonotrichia_albicollis ENSZALG00000015981
serinus_canaria ENSSCAG00000011386
cyanistes_caeruleus ENSCCEG00000019866
parus_major ENSPMJG00000013256
ficedula_albicollis ENSFALG00000014055
lepidothrix_coronata ENSLCOG00000005806
manacus_vitellinus ENSMVIG00005004394
meleagris_gallopavo ENSMGAG00000007169
coturnix_japonica ENSCJPG00005015232
gallus_gallus ENSGALG00000006532
numida_meleagris ENSNMEG00000017262
anser_brachyrhynchus ENSABRG00000020025
anas_platyrhynchos_platyrhynchos ENSAPLG00000007471
apteryx_haastii ENSAHAG00000007684
apteryx_rowi ENSARWG00000004499
apteryx_owenii ENSAOWG00000003359
dromaius_novaehollandiae ENSDNVG00000013660
nothoprocta_perdicaria ENSNPEG00000005937
crocodylus_porosus ENSCPRG00005009469
gopherus_agassizii ENSGAGG00000016055
chelonoidis_abingdonii ENSCABG00000022460
chrysemys_picta_bellii ENSCPBG00000020227
pelodiscus_sinensis ENSPSIG00000003511
pogona_vitticeps ENSPVIG00000014003
salvator_merianae ENSSMRG00000001866
sphenodon_punctatus ENSSPUG00000007234
homo_sapiens ENSG00000133393
pan_troglodytes ENSPTRG00000007811
gorilla_gorilla ENSGGOG00000027401
nomascus_leucogenys ENSNLEG00000000096
rhinopithecus_bieti ENSRBIG00000041756
rhinopithecus_roxellana ENSRROG00000040224
piliocolobus_tephrosceles ENSPTEG00000026620
colobus_angolensis_palliatus ENSCANG00000040000
mandrillus_leucophaeus ENSMLEG00000030634
cercocebus_atys ENSCATG00000040556
theropithecus_gelada ENSTGEG00000023926
macaca_fascicularis ENSMFAG00000000648
macaca_mulatta ENSMMUG00000038422
macaca_nemestrina ENSMNEG00000016396
papio_anubis ENSPANG00000033676
chlorocebus_sabaeus ENSCSAG00000008023
callithrix_jacchus ENSCJAG00000005629
saimiri_boliviensis_boliviensis ENSSBOG00000029724
cebus_capucinus ENSCCAG00000032299
aotus_nancymaae ENSANAG00000023647
carlito_syrichta ENSTSYG00000007431
microcebus_murinus ENSMICG00000026586
prolemur_simus ENSPSMG00000013001
propithecus_coquereli ENSPCOG00000015328
otolemur_garnettii ENSOGAG00000001262
tupaia_belangeri ENSTBEG00000007236
vicugna_pacos ENSVPAG00000010908
sus_scrofa ENSSSCG00000033377
bos_taurus ENSBTAG00000032640
bos_mutus ENSBMUG00000003429
bison_bison_bison ENSBBBG00000015520
capra_hircus ENSCHIG00000024326
ovis_aries ENSOARG00000009297
tursiops_truncatus ENSTTRG00000010277
pteropus_vampyrus ENSPVAG00000004575
