neovison_vison ENSNVIG00000019480
ursus_americanus ENSUAMG00000015180
canis_lupus_dingo ENSCAFG00020014151
vulpes_vulpes ENSVVUG00000029763
canis_lupus_dingo ENSCAFG00020026540
vulpes_vulpes ENSVVUG00000023849
panthera_tigris_altaica ENSPTIG00000019815
panthera_pardus ENSPPRG00000004247
felis_catus ENSFCAG00000028881
equus_caballus ENSECAG00000036140
equus_asinus_asinus ENSEASG00005019942
bison_bison_bison ENSBBBG00000020388
ovis_aries ENSOARG00000006572
bos_mutus ENSBMUG00000014416
tursiops_truncatus ENSTTRG00000010292
sus_scrofa ENSSSCG00000013027
pteropus_vampyrus ENSPVAG00000017128
myotis_lucifugus ENSMLUG00000028612
rhinopithecus_roxellana ENSRROG00000028687
rhinopithecus_bieti ENSRBIG00000032075
piliocolobus_tephrosceles ENSPTEG00000020015
colobus_angolensis_palliatus ENSCANG00000041916
cercocebus_atys ENSCATG00000033568
chlorocebus_sabaeus ENSCSAG00000007181
macaca_mulatta ENSMMUG00000037770
macaca_nemestrina ENSMNEG00000039355
mandrillus_leucophaeus ENSMLEG00000026650
papio_anubis ENSPANG00000013727
theropithecus_gelada ENSTGEG00000012243
homo_sapiens ENSG00000219435
pan_paniscus ENSPPAG00000044018
gorilla_gorilla ENSGGOG00000001331
nomascus_leucogenys ENSNLEG00000004970
callithrix_jacchus ENSCJAG00000018046
cebus_capucinus ENSCCAG00000020720
aotus_nancymaae ENSANAG00000033403
carlito_syrichta ENSTSYG00000035832
propithecus_coquereli ENSPCOG00000028418
prolemur_simus ENSPSMG00000003870
microcebus_murinus ENSMICG00000042558
cricetulus_griseus_crigri-picr ENSCGRG00015011159
cricetulus_griseus_chok1gshd ENSCGRG00001023239
cricetulus_griseus_crigri ENSCGRG00000012315
mesocricetus_auratus ENSMAUG00000013579
microtus_ochrogaster ENSMOCG00000013953
peromyscus_maniculatus_bairdii ENSPEMG00000014337
mus_spicilegus ENSMSIG00000029882
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023528
mus_musculus ENSMUSG00000050623
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022617
mus_pahari MGP_PahariEiJ_G0014111
rattus_norvegicus ENSRNOG00000051621
meriones_unguiculatus ENSMUGG00000004152
nannospalax_galili ENSNGAG00000020348
jaculus_jaculus ENSJJAG00000023408
castor_canadensis ENSCCNG00000026361
urocitellus_parryii ENSUPAG00010007594
marmota_marmota_marmota ENSMMMG00000007922
oryctolagus_cuniculus ENSOCUG00000021040
loxodonta_africana ENSLAFG00000023390
procavia_capensis ENSPCAG00000010648
