urocitellus_parryii ENSUPAG00010011142
spermophilus_dauricus ENSSDAG00000018156
marmota_marmota_marmota ENSMMMG00000007783
oryctolagus_cuniculus ENSOCUG00000029406
microcebus_murinus ENSMICG00000043386
prolemur_simus ENSPSMG00000002122
otolemur_garnettii ENSOGAG00000025231
pteropus_vampyrus ENSPVAG00000001561
canis_lupus_dingo ENSCAFG00020017134
vicugna_pacos ENSVPAG00000006760
ochotona_princeps ENSOPRG00000008912
tupaia_belangeri ENSTBEG00000017392
pongo_abelii ENSPPYG00000017355
chlorocebus_sabaeus ENSCSAG00000017688
canis_lupus_dingo ENSCAFG00020017136
canis_lupus_familiaris ENSCAFG00000023499
vulpes_vulpes ENSVVUG00000015680
neovison_vison ENSNVIG00000005736
ursus_americanus ENSUAMG00000023581
mustela_putorius_furo ENSMPUG00000016594
ailuropoda_melanoleuca ENSAMEG00000006682
dasypus_novemcinctus ENSDNOG00000044423
