xiphophorus_couchianus ENSXCOG00000020760
xiphophorus_maculatus ENSXMAG00000024107
poecilia_reticulata ENSPREG00000014351
gambusia_affinis ENSGAFG00000007482
oryzias_melastigma ENSOMEG00000005654
maylandia_zebra ENSMZEG00005017298
pundamilia_nyererei ENSPNYG00000015593
amphiprion_percula ENSAPEG00000019997
takifugu_rubripes ENSTRUG00000020094
mola_mola ENSMMOG00000010808
labrus_bergylta ENSLBEG00000000933
anabas_testudineus ENSATEG00000018824
cynoglossus_semilaevis ENSCSEG00000001205
esox_lucius ENSELUG00000003174
paramormyrops_kingsleyae ENSPKIG00000014116
