pygocentrus_nattereri ENSPNAG00000018730
astyanax_mexicanus ENSAMXG00000036449
ictalurus_punctatus ENSIPUG00000007036
takifugu_rubripes ENSTRUG00000020007
xiphophorus_maculatus ENSXMAG00000010353
xiphophorus_couchianus ENSXCOG00000001808
poecilia_formosa ENSPFOG00000021676
cyprinodon_variegatus ENSCVAG00000005808
oryzias_latipes ENSORLG00000029954
oryzias_latipes ENSORLG00020014521
oryzias_melastigma ENSOMEG00000019259
maylandia_zebra ENSMZEG00005012816
astatotilapia_calliptera ENSACLG00000006519
seriola_lalandi_dorsalis ENSSLDG00000010236
gasterosteus_aculeatus ENSGACG00000007899
gadus_morhua ENSGMOG00000002424
astyanax_mexicanus ENSAMXG00000021148
pogona_vitticeps ENSPVIG00000023020
salvator_merianae ENSSMRG00000021485
