echinops_telfairi ENSETEG00000004759
procavia_capensis ENSPCAG00000007858
oryctolagus_cuniculus ENSOCUG00000016910
cavia_aperea ENSCAPG00000014396
ailuropoda_melanoleuca ENSAMEG00000017248
vulpes_vulpes ENSVVUG00000010328
ovis_aries ENSOARG00000020615
nothoprocta_perdicaria ENSNPEG00000003615
taeniopygia_guttata ENSTGUG00000010123
gadus_morhua ENSGMOG00000007857
gouania_willdenowi ENSGWIG00000004406
esox_lucius ENSELUG00000021515
ictalurus_punctatus ENSIPUG00000012798
astyanax_mexicanus ENSAMXG00005021670
gasterosteus_aculeatus ENSGACG00000004731
labrus_bergylta ENSLBEG00000015680
seriola_dumerili ENSSDUG00000005500
ciona_intestinalis ENSCING00000005272
ciona_savignyi ENSCSAVG00000008667
drosophila_melanogaster FBgn0263351
caenorhabditis_elegans WBGene00001082
seriola_lalandi ENSSLDG00000008005
piliocolobus_tephrosceles ENSPTEG00000012385
marmota_marmota ENSMMMG00000009616
saccharomyces_cerevisiae YPL259C
