seriola_dumerili ENSSDUG00000016551
seriola_lalandi_dorsalis ENSSLDG00000016790
hippocampus_comes ENSHCOG00000017428
poecilia_latipinna ENSPLAG00000023983
poecilia_mexicana ENSPMEG00000012636
poecilia_reticulata ENSPREG00000011137
xiphophorus_couchianus ENSXCOG00000014658
xiphophorus_maculatus ENSXMAG00000025993
gambusia_affinis ENSGAFG00000016512
cyprinodon_variegatus ENSCVAG00000007685
amphiprion_ocellaris ENSAOCG00000005765
amphiprion_percula ENSAPEG00000005076
acanthochromis_polyacanthus ENSAPOG00000019715
stegastes_partitus ENSSPAG00000004816
labrus_bergylta ENSLBEG00000016765
labrus_bergylta ENSLBEG00000010039
mastacembelus_armatus ENSMAMG00000014771
amphilophus_citrinellus ENSACIG00000009609
fundulus_heteroclitus ENSFHEG00000000377
anabas_testudineus ENSATEG00000019442
esox_lucius ENSELUG00000023239
pygocentrus_nattereri ENSPNAG00000013928
astyanax_mexicanus ENSAMXG00000029341
ictalurus_punctatus ENSIPUG00000006345
scleropages_formosus ENSSFOG00015000789
lepisosteus_oculatus ENSLOCG00000011477
