salvator_merianae ENSSMRG00000013938
notechis_scutatus ENSNSUG00000008017
anolis_carolinensis ENSACAG00000000464
pogona_vitticeps ENSPVIG00000004418
sphenodon_punctatus ENSSPUG00000006417
meleagris_gallopavo ENSMGAG00000002552
coturnix_japonica ENSCJPG00005008886
gallus_gallus ENSGALG00000001363
numida_meleagris ENSNMEG00000012956
anser_brachyrhynchus ENSABRG00000009125
anas_platyrhynchos_platyrhynchos ENSAPLG00000008534
taeniopygia_guttata ENSTGUG00000003923
lonchura_striata_domestica ENSLSDG00000011581
serinus_canaria ENSSCAG00000004683
parus_major ENSPMJG00000018935
cyanistes_caeruleus ENSCCEG00000003563
ficedula_albicollis ENSFALG00000007158
junco_hyemalis ENSJHYG00000015016
zonotrichia_albicollis ENSZALG00000016505
manacus_vitellinus ENSMVIG00005009519
lepidothrix_coronata ENSLCOG00000006121
melopsittacus_undulatus ENSMUNG00000003140
calidris_pugnax ENSCPUG00000006790
calidris_pygmaea ENSCPGG00000018668
apteryx_haastii ENSAHAG00000005772
apteryx_owenii ENSAOWG00000017947
apteryx_rowi ENSARWG00000006133
dromaius_novaehollandiae ENSDNVG00000006385
crocodylus_porosus ENSCPRG00005007025
gopherus_agassizii ENSGAGG00000024370
chelonoidis_abingdonii ENSCABG00000010735
chrysemys_picta_bellii ENSCPBG00000027701
pelodiscus_sinensis ENSPSIG00000015145
phascolarctos_cinereus ENSPCIG00000017603
notamacropus_eugenii ENSMEUG00000011016
monodelphis_domestica ENSMODG00000011112
sarcophilus_harrisii ENSSHAG00000001797
pan_troglodytes ENSPTRG00000008593
pan_paniscus ENSPPAG00000033921
homo_sapiens ENSG00000132382
gorilla_gorilla ENSGGOG00000006396
pongo_abelii ENSPPYG00000007834
nomascus_leucogenys ENSNLEG00000017338
rhinopithecus_roxellana ENSRROG00000039569
rhinopithecus_bieti ENSRBIG00000028558
piliocolobus_tephrosceles ENSPTEG00000038313
colobus_angolensis_palliatus ENSCANG00000006064
cercocebus_atys ENSCATG00000043104
mandrillus_leucophaeus ENSMLEG00000036429
macaca_fascicularis ENSMFAG00000041860
macaca_nemestrina ENSMNEG00000032730
macaca_mulatta ENSMMUG00000022859
theropithecus_gelada ENSTGEG00000018335
papio_anubis ENSPANG00000024340
chlorocebus_sabaeus ENSCSAG00000013165
cebus_capucinus ENSCCAG00000026185
saimiri_boliviensis_boliviensis ENSSBOG00000020401
callithrix_jacchus ENSCJAG00000020332
aotus_nancymaae ENSANAG00000035807
carlito_syrichta ENSTSYG00000000601
propithecus_coquereli ENSPCOG00000013258
prolemur_simus ENSPSMG00000016119
microcebus_murinus ENSMICG00000001226
otolemur_garnettii ENSOGAG00000008993
mus_musculus ENSMUSG00000040463
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017511
mus_spicilegus ENSMSIG00000013464
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016674
mus_pahari MGP_PahariEiJ_G0017807
rattus_norvegicus ENSRNOG00000015236
meriones_unguiculatus ENSMUGG00000006217
cricetulus_griseus_crigri ENSCGRG00000015495
cricetulus_griseus_crigri-picr ENSCGRG00015001844
cricetulus_griseus_chok1gshd ENSCGRG00001023237
mesocricetus_auratus ENSMAUG00000021236
microtus_ochrogaster ENSMOCG00000019759
peromyscus_maniculatus_bairdii ENSPEMG00000013260
nannospalax_galili ENSNGAG00000015541
jaculus_jaculus ENSJJAG00000016759
castor_canadensis ENSCCNG00000024737
heterocephalus_glaber_male ENSHGLG00100001342
heterocephalus_glaber_female ENSHGLG00000016393
fukomys_damarensis ENSFDAG00000017923
chinchilla_lanigera ENSCLAG00000017368
octodon_degus ENSODEG00000016740
cavia_aperea ENSCAPG00000010427
cavia_porcellus ENSCPOG00000014198
ictidomys_tridecemlineatus ENSSTOG00000014925
spermophilus_dauricus ENSSDAG00000001843
urocitellus_parryii ENSUPAG00010019764
marmota_marmota_marmota ENSMMMG00000018964
castor_canadensis ENSCCNG00000024685
oryctolagus_cuniculus ENSOCUG00000012076
ochotona_princeps ENSOPRG00000016222
tupaia_belangeri ENSTBEG00000013673
pteropus_vampyrus ENSPVAG00000000200
myotis_lucifugus ENSMLUG00000005061
equus_caballus ENSECAG00000024029
equus_asinus_asinus ENSEASG00005014231
capra_hircus ENSCHIG00000018222
