scleropages_formosus ENSSFOG00015022789
paramormyrops_kingsleyae ENSPKIG00000011192
poecilia_reticulata ENSPREG00000000558
fundulus_heteroclitus ENSFHEG00000016810
astatotilapia_calliptera ENSACLG00000004290
amphiprion_percula ENSAPEG00000000657
acanthochromis_polyacanthus ENSAPOG00000005500
mastacembelus_armatus ENSMAMG00000014907
monopterus_albus ENSMALG00000007875
anabas_testudineus ENSATEG00000011791
seriola_dumerili ENSSDUG00000004715
scophthalmus_maximus ENSSMAG00000018447
labrus_bergylta ENSLBEG00000002547
esox_lucius ENSELUG00000004571
pygocentrus_nattereri ENSPNAG00000021305
astyanax_mexicanus ENSAMXG00000042478
ictalurus_punctatus ENSIPUG00000023856
danio_rerio ENSDARG00000092106
lepisosteus_oculatus ENSLOCG00000001174
