ursus_americanus ENSUAMG00000026616
ursus_maritimus ENSUMAG00000019910
ailuropoda_melanoleuca ENSAMEG00000010439
neovison_vison ENSNVIG00000019058
canis_lupus_dingo ENSCAFG00020019551
canis_lupus_familiaris ENSCAFG00000000472
vulpes_vulpes ENSVVUG00000010857
panthera_pardus ENSPPRG00000002114
panthera_tigris_altaica ENSPTIG00000015575
felis_catus ENSFCAG00000034111
pteropus_vampyrus ENSPVAG00000007317
erinaceus_europaeus ENSEEUG00000000758
sorex_araneus ENSSARG00000010180
equus_asinus_asinus ENSEASG00005020659
equus_caballus ENSECAG00000017957
bos_mutus ENSBMUG00000002089
bos_taurus ENSBTAG00000004539
bison_bison_bison ENSBBBG00000000253
ovis_aries ENSOARG00000010524
capra_hircus ENSCHIG00000011674
sus_scrofa ENSSSCG00000001388
pan_paniscus ENSPPAG00000034584
pan_troglodytes ENSPTRG00000017947
gorilla_gorilla ENSGGOG00000014567
homo_sapiens ENSG00000204542
pongo_abelii ENSPPYG00000017204
nomascus_leucogenys ENSNLEG00000005697
rhinopithecus_roxellana ENSRROG00000029009
rhinopithecus_bieti ENSRBIG00000044291
piliocolobus_tephrosceles ENSPTEG00000030992
colobus_angolensis_palliatus ENSCANG00000043427
theropithecus_gelada ENSTGEG00000008627
theropithecus_gelada ENSTGEG00000012408
mandrillus_leucophaeus ENSMLEG00000035967
papio_anubis ENSPANG00000011097
cercocebus_atys ENSCATG00000039407
macaca_fascicularis ENSMFAG00000032861
macaca_nemestrina ENSMNEG00000040093
chlorocebus_sabaeus ENSCSAG00000008374
saimiri_boliviensis_boliviensis ENSSBOG00000023236
cebus_capucinus ENSCCAG00000020839
callithrix_jacchus ENSCJAG00000019814
aotus_nancymaae ENSANAG00000018107
carlito_syrichta ENSTSYG00000005025
propithecus_coquereli ENSPCOG00000019120
prolemur_simus ENSPSMG00000005368
microcebus_murinus ENSMICG00000010138
cricetulus_griseus_crigri-picr ENSCGRG00015028214
cricetulus_griseus_crigri ENSCGRG00000012262
cricetulus_griseus_chok1gshd ENSCGRG00001019203
mesocricetus_auratus ENSMAUG00000020498
microtus_ochrogaster ENSMOCG00000018247
peromyscus_maniculatus_bairdii ENSPEMG00000012606
mus_musculus ENSMUSG00000039269
mus_spicilegus ENSMSIG00000014715
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022432
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021525
mus_pahari MGP_PahariEiJ_G0020519
nannospalax_galili ENSNGAG00000018691
chinchilla_lanigera ENSCLAG00000004185
castor_canadensis ENSCCNG00000023921
marmota_marmota_marmota ENSMMMG00000020412
urocitellus_parryii ENSUPAG00010003671
spermophilus_dauricus ENSSDAG00000004140
ochotona_princeps ENSOPRG00000003792
oryctolagus_cuniculus ENSOCUG00000029487
choloepus_hoffmanni ENSCHOG00000011904
dasypus_novemcinctus ENSDNOG00000039605
loxodonta_africana ENSLAFG00000018655
loxodonta_africana ENSLAFG00000025828
procavia_capensis ENSPCAG00000003483
notamacropus_eugenii ENSMEUG00000000996
phascolarctos_cinereus ENSPCIG00000015060
echinops_telfairi ENSETEG00000002271
monodelphis_domestica ENSMODG00000026448
