ovis_aries ENSOARG00000010287
capra_hircus ENSCHIG00000000416
bos_indicus ENSBIXG00000008846
bos_indicus ENSBIXG00005030789
bos_taurus ENSBTAG00000021416
bos_mutus ENSBMUG00000003547
bison_bison ENSBBBG00000016221
tursiops_truncatus ENSTTRG00000016396
sus_scrofa ENSSSCG00000010340
pteropus_vampyrus ENSPVAG00000008957
mus_spretus MGP_SPRETEiJ_G0020025
mus_musculus ENSMUSG00000021792
mus_spicilegus ENSMSIG00000025436
mus_caroli MGP_CAROLIEiJ_G0019139
mus_pahari MGP_PahariEiJ_G0030155
rattus_norvegicus ENSRNOG00000011140
meriones_unguiculatus ENSMUGG00000007353
microtus_ochrogaster ENSMOCG00000003643
peromyscus_maniculatus ENSPEMG00000003661
cricetulus_griseus ENSCGRG00001006989
cricetulus_griseus ENSCGRG00015017310
cricetulus_griseus ENSCGRG00000010614
mesocricetus_auratus ENSMAUG00000019951
nannospalax_galili ENSNGAG00000014978
jaculus_jaculus ENSJJAG00000021962
octodon_degus ENSODEG00000012446
chinchilla_lanigera ENSCLAG00000000254
cavia_porcellus ENSCPOG00000006552
cavia_aperea ENSCAPG00000010823
heterocephalus_glaber ENSHGLG00100000074
heterocephalus_glaber ENSHGLG00000008942
fukomys_damarensis ENSFDAG00000015627
spermophilus_dauricus ENSSDAG00000015786
spermophilus_dauricus ENSSDAG00000015781
spermophilus_dauricus ENSSDAG00000024956
ictidomys_tridecemlineatus ENSSTOG00000012864
marmota_marmota ENSMMMG00000010895
urocitellus_parryii ENSUPAG00010002323
dipodomys_ordii ENSDORG00000015928
castor_canadensis ENSCCNG00000003463
oryctolagus_cuniculus ENSOCUG00000012307
ochotona_princeps ENSOPRG00000003958
gorilla_gorilla ENSGGOG00000013246
homo_sapiens ENSG00000122378
pan_troglodytes ENSPTRG00000002685
pan_paniscus ENSPPAG00000037245
pongo_abelii ENSPPYG00000025862
nomascus_leucogenys ENSNLEG00000008244
nomascus_leucogenys ENSNLEG00000010726
rhinopithecus_roxellana ENSRROG00000038300
rhinopithecus_bieti ENSRBIG00000031726
colobus_angolensis ENSCANG00000037444
piliocolobus_tephrosceles ENSPTEG00000000446
macaca_fascicularis ENSMFAG00000043331
macaca_mulatta ENSMMUG00000021773
macaca_nemestrina ENSMNEG00000039158
mandrillus_leucophaeus ENSMLEG00000026958
cercocebus_atys ENSCATG00000006717
papio_anubis ENSPANG00000022583
theropithecus_gelada ENSTGEG00000017128
chlorocebus_sabaeus ENSCSAG00000009424
macaca_nemestrina ENSMNEG00000036873
piliocolobus_tephrosceles ENSPTEG00000027655
chlorocebus_sabaeus ENSCSAG00000007470
papio_anubis ENSPANG00000036070
cercocebus_atys ENSCATG00000035716
pan_troglodytes ENSPTRG00000046964
cebus_capucinus ENSCCAG00000007910
cebus_capucinus ENSCCAG00000030854
cebus_capucinus ENSCCAG00000033641
callithrix_jacchus ENSCJAG00000003657
saimiri_boliviensis ENSSBOG00000015267
aotus_nancymaae ENSANAG00000027383
carlito_syrichta ENSTSYG00000003834
microcebus_murinus ENSMICG00000044760
microcebus_murinus ENSMICG00000033383
prolemur_simus ENSPSMG00000014743
propithecus_coquereli ENSPCOG00000023150
otolemur_garnettii ENSOGAG00000013638
choloepus_hoffmanni ENSCHOG00000000813
ursus_americanus ENSUAMG00000012871
ursus_maritimus ENSUMAG00000014166
ailuropoda_melanoleuca ENSAMEG00000013059
neovison_vison ENSNVIG00000002853
mustela_putorius ENSMPUG00000003544
canis_lupus ENSCAFG00000015861
canis_lupus ENSCAFG00020013929
vulpes_vulpes ENSVVUG00000025576
panthera_pardus ENSPPRG00000024880
panthera_tigris ENSPTIG00000021293
felis_catus ENSFCAG00000024546
equus_asinus ENSEASG00005019889
equus_caballus ENSECAG00000009136
erinaceus_europaeus ENSEEUG00000003638
sorex_araneus ENSSARG00000002660
myotis_lucifugus ENSMLUG00000001289
tupaia_belangeri ENSTBEG00000017619
dasypus_novemcinctus ENSDNOG00000038670
loxodonta_africana ENSLAFG00000004468
procavia_capensis ENSPCAG00000009696
echinops_telfairi ENSETEG00000019911
