saimiri_boliviensis_boliviensis ENSSBOG00000034101
callithrix_jacchus ENSCJAG00000034598
cebus_capucinus ENSCCAG00000023671
aotus_nancymaae ENSANAG00000022238
cercocebus_atys ENSCATG00000037333
mandrillus_leucophaeus ENSMLEG00000028917
macaca_nemestrina ENSMNEG00000032877
macaca_mulatta ENSMMUG00000037718
theropithecus_gelada ENSTGEG00000026202
papio_anubis ENSPANG00000033056
chlorocebus_sabaeus ENSCSAG00000010438
colobus_angolensis_palliatus ENSCANG00000015346
piliocolobus_tephrosceles ENSPTEG00000031643
rhinopithecus_bieti ENSRBIG00000013019
rhinopithecus_bieti ENSRBIG00000036339
rhinopithecus_roxellana ENSRROG00000040713
nomascus_leucogenys ENSNLEG00000009447
pongo_abelii ENSPPYG00000007018
homo_sapiens ENSG00000005001
pan_troglodytes ENSPTRG00000007669
pan_paniscus ENSPPAG00000042442
gorilla_gorilla ENSGGOG00000036663
macaca_fascicularis ENSMFAG00000034056
carlito_syrichta ENSTSYG00000034900
propithecus_coquereli ENSPCOG00000012193
prolemur_simus ENSPSMG00000019072
microcebus_murinus ENSMICG00000005885
otolemur_garnettii ENSOGAG00000003790
peromyscus_maniculatus_bairdii ENSPEMG00000005351
microtus_ochrogaster ENSMOCG00000015869
cricetulus_griseus_crigri ENSCGRG00000009254
cricetulus_griseus_chok1gshd ENSCGRG00001013636
cricetulus_griseus_crigri-picr ENSCGRG00015011789
mesocricetus_auratus ENSMAUG00000015285
mus_musculus ENSMUSG00000045027
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022080
mus_spicilegus ENSMSIG00000004158
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021170
mus_pahari MGP_PahariEiJ_G0023486
rattus_norvegicus ENSRNOG00000039698
meriones_unguiculatus ENSMUGG00000025810
nannospalax_galili ENSNGAG00000023047
jaculus_jaculus ENSJJAG00000019033
heterocephalus_glaber_female ENSHGLG00000013950
heterocephalus_glaber_male ENSHGLG00100003396
fukomys_damarensis ENSFDAG00000001496
chinchilla_lanigera ENSCLAG00000012358
octodon_degus ENSODEG00000013018
cavia_aperea ENSCAPG00000014047
cavia_porcellus ENSCPOG00000000157
dipodomys_ordii ENSDORG00000023327
castor_canadensis ENSCCNG00000018333
urocitellus_parryii ENSUPAG00010018145
marmota_marmota_marmota ENSMMMG00000008737
ictidomys_tridecemlineatus ENSSTOG00000019568
ochotona_princeps ENSOPRG00000015171
neovison_vison ENSNVIG00000023128
mustela_putorius_furo ENSMPUG00000015266
ursus_americanus ENSUAMG00000013075
ursus_maritimus ENSUMAG00000000311
canis_lupus_dingo ENSCAFG00020026014
canis_lupus_familiaris ENSCAFG00000023636
vulpes_vulpes ENSVVUG00000009001
panthera_pardus ENSPPRG00000014953
panthera_tigris_altaica ENSPTIG00000017815
felis_catus ENSFCAG00000044072
tursiops_truncatus ENSTTRG00000015514
sus_scrofa ENSSSCG00000035594
capra_hircus ENSCHIG00000018570
ovis_aries ENSOARG00000000159
bos_taurus ENSBTAG00000020582
bison_bison_bison ENSBBBG00000023307
bos_mutus ENSBMUG00000014813
equus_asinus_asinus ENSEASG00005005790
equus_caballus ENSECAG00000017432
erinaceus_europaeus ENSEEUG00000010752
pteropus_vampyrus ENSPVAG00000003956
loxodonta_africana ENSLAFG00000031907
echinops_telfairi ENSETEG00000012780
procavia_capensis ENSPCAG00000010454
dasypus_novemcinctus ENSDNOG00000001136
otolemur_garnettii ENSOGAG00000016726
prolemur_simus ENSPSMG00000019092
rhinopithecus_bieti ENSRBIG00000034730
piliocolobus_tephrosceles ENSPTEG00000031603
macaca_fascicularis ENSMFAG00000038673
chlorocebus_sabaeus ENSCSAG00000010400
theropithecus_gelada ENSTGEG00000026161
peromyscus_maniculatus_bairdii ENSPEMG00000001175
microtus_ochrogaster ENSMOCG00000019808
cricetulus_griseus_crigri ENSCGRG00000016515
cricetulus_griseus_crigri-picr ENSCGRG00015011777
cricetulus_griseus_chok1gshd ENSCGRG00001002106
mesocricetus_auratus ENSMAUG00000000746
mus_spicilegus ENSMSIG00000004121
mus_musculus ENSMUSG00000024124
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022079
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021169
mus_pahari MGP_PahariEiJ_G0023485
rattus_norvegicus ENSRNOG00000033266
meriones_unguiculatus ENSMUGG00000025811
nannospalax_galili ENSNGAG00000005405
jaculus_jaculus ENSJJAG00000020387
pongo_abelii ENSPPYG00000007017
procavia_capensis ENSPCAG00000008391
phascolarctos_cinereus ENSPCIG00000004141
notamacropus_eugenii ENSMEUG00000012115
monodelphis_domestica ENSMODG00000016590
sarcophilus_harrisii ENSSHAG00000005051
