phascolarctos_cinereus ENSPCIG00000028164
notamacropus_eugenii ENSMEUG00000007431
sarcophilus_harrisii ENSSHAG00000014140
monodelphis_domestica ENSMODG00000012089
ornithorhynchus_anatinus ENSOANG00000007549
loxodonta_africana ENSLAFG00000009660
procavia_capensis ENSPCAG00000013795
dasypus_novemcinctus ENSDNOG00000041932
saimiri_boliviensis_boliviensis ENSSBOG00000034632
cebus_capucinus ENSCCAG00000034740
callithrix_jacchus ENSCJAG00000011058
aotus_nancymaae ENSANAG00000030401
pan_paniscus ENSPPAG00000007876
pan_troglodytes ENSPTRG00000007320
homo_sapiens ENSG00000140368
gorilla_gorilla ENSGGOG00000012292
pongo_abelii ENSPPYG00000006679
nomascus_leucogenys ENSNLEG00000008274
piliocolobus_tephrosceles ENSPTEG00000024744
colobus_angolensis_palliatus ENSCANG00000038677
rhinopithecus_roxellana ENSRROG00000033013
rhinopithecus_bieti ENSRBIG00000040558
papio_anubis ENSPANG00000015861
theropithecus_gelada ENSTGEG00000000537
mandrillus_leucophaeus ENSMLEG00000037375
cercocebus_atys ENSCATG00000003961
macaca_mulatta ENSMMUG00000010171
macaca_nemestrina ENSMNEG00000029749
macaca_fascicularis ENSMFAG00000041249
chlorocebus_sabaeus ENSCSAG00000014714
carlito_syrichta ENSTSYG00000025916
microcebus_murinus ENSMICG00000014316
propithecus_coquereli ENSPCOG00000021796
prolemur_simus ENSPSMG00000006141
otolemur_garnettii ENSOGAG00000002001
spermophilus_dauricus ENSSDAG00000015472
marmota_marmota_marmota ENSMMMG00000001897
urocitellus_parryii ENSUPAG00010005888
ictidomys_tridecemlineatus ENSSTOG00000005825
mus_musculus ENSMUSG00000032322
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033390
mus_spicilegus ENSMSIG00000009643
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032250
mus_pahari MGP_PahariEiJ_G0015117
rattus_norvegicus ENSRNOG00000016413
meriones_unguiculatus ENSMUGG00000001115
cricetulus_griseus_chok1gshd ENSCGRG00001014772
cricetulus_griseus_crigri ENSCGRG00000004304
cricetulus_griseus_crigri-picr ENSCGRG00015025502
mesocricetus_auratus ENSMAUG00000020112
peromyscus_maniculatus_bairdii ENSPEMG00000018739
microtus_ochrogaster ENSMOCG00000020616
nannospalax_galili ENSNGAG00000018911
castor_canadensis ENSCCNG00000006168
dipodomys_ordii ENSDORG00000028734
chinchilla_lanigera ENSCLAG00000009791
octodon_degus ENSODEG00000013863
cavia_aperea ENSCAPG00000016062
cavia_porcellus ENSCPOG00000014370
heterocephalus_glaber_female ENSHGLG00000002685
heterocephalus_glaber_male ENSHGLG00100017529
fukomys_damarensis ENSFDAG00000015061
tupaia_belangeri ENSTBEG00000013596
pteropus_vampyrus ENSPVAG00000008226
myotis_lucifugus ENSMLUG00000010432
bos_mutus ENSBMUG00000002244
bos_taurus ENSBTAG00000021144
bison_bison_bison ENSBBBG00000010267
capra_hircus ENSCHIG00000019657
ovis_aries ENSOARG00000001650
tursiops_truncatus ENSTTRG00000016012
sus_scrofa ENSSSCG00000001867
ursus_americanus ENSUAMG00000015310
ursus_maritimus ENSUMAG00000003675
ailuropoda_melanoleuca ENSAMEG00000009684
mustela_putorius_furo ENSMPUG00000017334
neovison_vison ENSNVIG00000013725
canis_lupus_familiaris ENSCAFG00000018073
canis_lupus_dingo ENSCAFG00020003645
panthera_tigris_altaica ENSPTIG00000005988
panthera_pardus ENSPPRG00000004861
felis_catus ENSFCAG00000010953
equus_asinus_asinus ENSEASG00005015662
equus_caballus ENSECAG00000002988
choloepus_hoffmanni ENSCHOG00000008289
echinops_telfairi ENSETEG00000010913
oryctolagus_cuniculus ENSOCUG00000027321
gopherus_agassizii ENSGAGG00000025250
ochotona_princeps ENSOPRG00000011492
chrysemys_picta_bellii ENSCPBG00000022233
gopherus_agassizii ENSGAGG00000014170
pelodiscus_sinensis ENSPSIG00000010968
crocodylus_porosus ENSCPRG00005008058
calidris_pygmaea ENSCPGG00000001423
calidris_pugnax ENSCPUG00000014799
melopsittacus_undulatus ENSMUNG00000012588
anas_platyrhynchos_platyrhynchos ENSAPLG00000015226
anser_brachyrhynchus ENSABRG00000001954
gallus_gallus ENSGALG00000002786
coturnix_japonica ENSCJPG00005008028
meleagris_gallopavo ENSMGAG00000003310
numida_meleagris ENSNMEG00000011652
dromaius_novaehollandiae ENSDNVG00000018329
nothoprocta_perdicaria ENSNPEG00000000244
apteryx_owenii ENSAOWG00000001552
apteryx_rowi ENSARWG00000014491
apteryx_haastii ENSAHAG00000017983
serinus_canaria ENSSCAG00000012783
lonchura_striata_domestica ENSLSDG00000018092
junco_hyemalis ENSJHYG00000015479
zonotrichia_albicollis ENSZALG00000016451
taeniopygia_guttata ENSTGUG00000003659
ficedula_albicollis ENSFALG00000010726
parus_major ENSPMJG00000008437
lepidothrix_coronata ENSLCOG00000015618
manacus_vitellinus ENSMVIG00005013957
chelonoidis_abingdonii ENSCABG00000017776
notechis_scutatus ENSNSUG00000019659
cyanistes_caeruleus ENSCCEG00000023625
pogona_vitticeps ENSPVIG00000021173
anolis_carolinensis ENSACAG00000011683
salvator_merianae ENSSMRG00000007342
sphenodon_punctatus ENSSPUG00000016055
vulpes_vulpes ENSVVUG00000019709
xenopus_tropicalis ENSXETG00000033202
latimeria_chalumnae ENSLACG00000014168
labrus_bergylta ENSLBEG00000006586
gasterosteus_aculeatus ENSGACG00000016413
takifugu_rubripes ENSTRUG00000020454
tetraodon_nigroviridis ENSTNIG00000011358
seriola_dumerili ENSSDUG00000003745
scophthalmus_maximus ENSSMAG00000007048
mastacembelus_armatus ENSMAMG00000020076
anabas_testudineus ENSATEG00000018304
cynoglossus_semilaevis ENSCSEG00000012277
astatotilapia_calliptera ENSACLG00000013334
maylandia_zebra ENSMZEG00005008999
pundamilia_nyererei ENSPNYG00000019102
haplochromis_burtoni ENSHBUG00000022871
oreochromis_niloticus ENSONIG00000002518
amphilophus_citrinellus ENSACIG00000021413
fundulus_heteroclitus ENSFHEG00000012222
cyprinodon_variegatus ENSCVAG00000003830
poecilia_mexicana ENSPMEG00000011583
poecilia_formosa ENSPFOG00000016341
poecilia_latipinna ENSPLAG00000016517
poecilia_reticulata ENSPREG00000002623
gambusia_affinis ENSGAFG00000009288
xiphophorus_maculatus ENSXMAG00000023194
kryptolebias_marmoratus ENSKMAG00000017872
oryzias_latipes ENSORLG00000012376
oryzias_latipes_asm223469v1 ENSORLG00015021754
oryzias_latipes ENSORLG00020001830
oryzias_melastigma ENSOMEG00000012779
amphiprion_percula ENSAPEG00000001813
amphiprion_ocellaris ENSAOCG00000006180
acanthochromis_polyacanthus ENSAPOG00000006935
stegastes_partitus ENSSPAG00000000593
seriola_lalandi_dorsalis ENSSLDG00000004014
