scleropages_formosus ENSSFOG00015023196
paramormyrops_kingsleyae ENSPKIG00000010589
haplochromis_burtoni ENSHBUG00000006826
maylandia_zebra ENSMZEG00005010613
neolamprologus_brichardi ENSNBRG00000002202
oreochromis_niloticus ENSONIG00000019077
amphilophus_citrinellus ENSACIG00000023157
oryzias_latipes ENSORLG00020015132
oryzias_latipes ENSORLG00000014934
oryzias_latipes_asm223469v1 ENSORLG00015012852
oryzias_melastigma ENSOMEG00000019520
acanthochromis_polyacanthus ENSAPOG00000019925
gasterosteus_aculeatus ENSGACG00000010100
anabas_testudineus ENSATEG00000012636
poecilia_formosa ENSPFOG00000004413
poecilia_latipinna ENSPLAG00000010449
poecilia_mexicana ENSPMEG00000019071
poecilia_reticulata ENSPREG00000015825
xiphophorus_maculatus ENSXMAG00000016946
gambusia_affinis ENSGAFG00000015528
fundulus_heteroclitus ENSFHEG00000020107
cyprinodon_variegatus ENSCVAG00000020235
seriola_dumerili ENSSDUG00000015062
seriola_lalandi_dorsalis ENSSLDG00000016985
mastacembelus_armatus ENSMAMG00000009894
monopterus_albus ENSMALG00000013401
labrus_bergylta ENSLBEG00000014520
tetraodon_nigroviridis ENSTNIG00000003574
takifugu_rubripes ENSTRUG00000020803
mola_mola ENSMMOG00000009172
kryptolebias_marmoratus ENSKMAG00000016591
xiphophorus_couchianus ENSXCOG00000003413
amphiprion_percula ENSAPEG00000010802
astatotilapia_calliptera ENSACLG00000018047
scophthalmus_maximus ENSSMAG00000013033
hippocampus_comes ENSHCOG00000019446
gadus_morhua ENSGMOG00000004863
esox_lucius ENSELUG00000022945
pygocentrus_nattereri ENSPNAG00000002693
astyanax_mexicanus ENSAMXG00000017634
ictalurus_punctatus ENSIPUG00000012448
danio_rerio ENSDARG00000076997
lepisosteus_oculatus ENSLOCG00000012226
stegastes_partitus ENSSPAG00000009931
zonotrichia_albicollis ENSZALG00000017555
junco_hyemalis ENSJHYG00000012945
serinus_canaria ENSSCAG00000014383
lonchura_striata_domestica ENSLSDG00000015209
taeniopygia_guttata ENSTGUG00000009465
cyanistes_caeruleus ENSCCEG00000016846
parus_major ENSPMJG00000018092
ficedula_albicollis ENSFALG00000002263
manacus_vitellinus ENSMVIG00005011269
lepidothrix_coronata ENSLCOG00000001050
melopsittacus_undulatus ENSMUNG00000000538
calidris_pygmaea ENSCPGG00000000738
calidris_pugnax ENSCPUG00000001939
anas_platyrhynchos_platyrhynchos ENSAPLG00000004179
anser_brachyrhynchus ENSABRG00000006539
gallus_gallus ENSGALG00000003033
meleagris_gallopavo ENSMGAG00000008400
coturnix_japonica ENSCJPG00005021410
numida_meleagris ENSNMEG00000006639
apteryx_haastii ENSAHAG00000010876
apteryx_owenii ENSAOWG00000003016
apteryx_rowi ENSARWG00000007782
dromaius_novaehollandiae ENSDNVG00000011583
nothoprocta_perdicaria ENSNPEG00000004069
crocodylus_porosus ENSCPRG00005002170
chelonoidis_abingdonii ENSCABG00000005275
gopherus_agassizii ENSGAGG00000021354
chrysemys_picta_bellii ENSCPBG00000004333
pelodiscus_sinensis ENSPSIG00000016103
pogona_vitticeps ENSPVIG00000001333
anolis_carolinensis ENSACAG00000017416
notechis_scutatus ENSNSUG00000008462
salvator_merianae ENSSMRG00000021636
sphenodon_punctatus ENSSPUG00000012301
pteropus_vampyrus ENSPVAG00000012983
myotis_lucifugus ENSMLUG00000007361
equus_caballus ENSECAG00000016386
equus_asinus_asinus ENSEASG00005016828
erinaceus_europaeus ENSEEUG00000012578
sorex_araneus ENSSARG00000003873
bos_taurus ENSBTAG00000016078
bos_mutus ENSBMUG00000000818
bison_bison_bison ENSBBBG00000014813
bos_mutus ENSBMUG00000003895
capra_hircus ENSCHIG00000015359
ovis_aries ENSOARG00000005016
tursiops_truncatus ENSTTRG00000011950
vicugna_pacos ENSVPAG00000009535
sus_scrofa ENSSSCG00000017602
neovison_vison ENSNVIG00000012026
mustela_putorius_furo ENSMPUG00000015401
ursus_maritimus ENSUMAG00000020476
ailuropoda_melanoleuca ENSAMEG00000014697
canis_lupus_dingo ENSCAFG00020025560
canis_lupus_familiaris ENSCAFG00000017349
vulpes_vulpes ENSVVUG00000011517
panthera_tigris_altaica ENSPTIG00000010134
panthera_pardus ENSPPRG00000014766
felis_catus ENSFCAG00000025758
castor_canadensis ENSCCNG00000002237
dipodomys_ordii ENSDORG00000015457
cricetulus_griseus_chok1gshd ENSCGRG00001023598
cricetulus_griseus_crigri ENSCGRG00000012913
cricetulus_griseus_crigri-picr ENSCGRG00015005098
mesocricetus_auratus ENSMAUG00000010115
peromyscus_maniculatus_bairdii ENSPEMG00000001411
microtus_ochrogaster ENSMOCG00000014715
mus_musculus ENSMUSG00000020546
mus_spicilegus ENSMSIG00000026769
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017809
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016963
mus_pahari MGP_PahariEiJ_G0018094
rattus_norvegicus ENSRNOG00000032768
meriones_unguiculatus ENSMUGG00000012578
nannospalax_galili ENSNGAG00000022606
jaculus_jaculus ENSJJAG00000015241
chinchilla_lanigera ENSCLAG00000011711
octodon_degus ENSODEG00000011379
cavia_porcellus ENSCPOG00000011602
cavia_aperea ENSCAPG00000013125
heterocephalus_glaber_male ENSHGLG00100011808
heterocephalus_glaber_female ENSHGLG00000012455
fukomys_damarensis ENSFDAG00000003654
ictidomys_tridecemlineatus ENSSTOG00000012175
urocitellus_parryii ENSUPAG00010008243
spermophilus_dauricus ENSSDAG00000020841
marmota_marmota_marmota ENSMMMG00000020922
oryctolagus_cuniculus ENSOCUG00000008478
ochotona_princeps ENSOPRG00000004160
homo_sapiens ENSG00000166263
gorilla_gorilla ENSGGOG00000012026
pan_paniscus ENSPPAG00000018824
pan_troglodytes ENSPTRG00000009423
pongo_abelii ENSPPYG00000008258
nomascus_leucogenys ENSNLEG00000007992
macaca_fascicularis ENSMFAG00000001400
macaca_nemestrina ENSMNEG00000034061
mandrillus_leucophaeus ENSMLEG00000008808
papio_anubis ENSPANG00000022358
macaca_mulatta ENSMMUG00000010546
cercocebus_atys ENSCATG00000009577
theropithecus_gelada ENSTGEG00000024207
chlorocebus_sabaeus ENSCSAG00000005550
piliocolobus_tephrosceles ENSPTEG00000039532
colobus_angolensis_palliatus ENSCANG00000020780
rhinopithecus_roxellana ENSRROG00000042595
rhinopithecus_bieti ENSRBIG00000014038
cebus_capucinus ENSCCAG00000030220
saimiri_boliviensis_boliviensis ENSSBOG00000034723
callithrix_jacchus ENSCJAG00000011311
aotus_nancymaae ENSANAG00000028932
carlito_syrichta ENSTSYG00000004788
prolemur_simus ENSPSMG00000008505
microcebus_murinus ENSMICG00000005231
propithecus_coquereli ENSPCOG00000023688
otolemur_garnettii ENSOGAG00000007052
tupaia_belangeri ENSTBEG00000005738
loxodonta_africana ENSLAFG00000000761
procavia_capensis ENSPCAG00000016103
echinops_telfairi ENSETEG00000017665
choloepus_hoffmanni ENSCHOG00000009236
dasypus_novemcinctus ENSDNOG00000000288
notamacropus_eugenii ENSMEUG00000003948
phascolarctos_cinereus ENSPCIG00000024099
sarcophilus_harrisii ENSSHAG00000016013
monodelphis_domestica ENSMODG00000014863
ornithorhynchus_anatinus ENSOANG00000008608
xenopus_tropicalis ENSXETG00000027901
