peromyscus_maniculatus_bairdii ENSPEMG00000030917
meriones_unguiculatus ENSMUGG00000021441
spermophilus_dauricus ENSSDAG00000001716
marmota_marmota_marmota ENSMMMG00000002015
macaca_fascicularis ENSMFAG00000030720
macaca_nemestrina ENSMNEG00000001649
macaca_mulatta ENSMMUG00000048580
papio_anubis ENSPANG00000030510
ursus_americanus ENSUAMG00000012718
ursus_maritimus ENSUMAG00000005927
canis_lupus_dingo ENSCAFG00020015032
vulpes_vulpes ENSVVUG00000030036
panthera_tigris_altaica ENSPTIG00000016970
panthera_pardus ENSPPRG00000009975
bos_mutus ENSBMUG00000012012
bison_bison_bison ENSBBBG00000012318
