poecilia_latipinna ENSPLAG00000016165
xiphophorus_couchianus ENSXCOG00000020370
cyprinodon_variegatus ENSCVAG00000010604
kryptolebias_marmoratus ENSKMAG00000013263
oryzias_latipes ENSORLG00020002021
pundamilia_nyererei ENSPNYG00000013928
astatotilapia_calliptera ENSACLG00000025195
haplochromis_burtoni ENSHBUG00000009731
pundamilia_nyererei ENSPNYG00000004237
neolamprologus_brichardi ENSNBRG00000022914
neolamprologus_brichardi ENSNBRG00000022948
amphilophus_citrinellus ENSACIG00000023196
betta_splendens ENSBSLG00000023414
periophthalmus_magnuspinnatus ENSPMGG00000012853
danio_rerio ENSDARG00000091280
scleropages_formosus ENSSFOG00015021920
