sorex_araneus ENSSARG00000013124
erinaceus_europaeus ENSEEUG00000010759
pteropus_vampyrus ENSPVAG00000017570
equus_asinus ENSEASG00005016922
equus_caballus ENSECAG00000025168
castor_canadensis ENSCCNG00000025675
dipodomys_ordii ENSDORG00000005592
mus_spicilegus ENSMSIG00000019544
mus_spretus MGP_SPRETEiJ_G0017346
mus_musculus ENSMUSG00000020549
mus_caroli MGP_CAROLIEiJ_G0016509
mus_pahari MGP_PahariEiJ_G0017638
rattus_norvegicus ENSRNOG00000003424
meriones_unguiculatus ENSMUGG00000003589
cricetulus_griseus ENSCGRG00001023086
cricetulus_griseus ENSCGRG00015014205
cricetulus_griseus ENSCGRG00000011564
mesocricetus_auratus ENSMAUG00000019006
microtus_ochrogaster ENSMOCG00000014060
peromyscus_maniculatus ENSPEMG00000001670
nannospalax_galili ENSNGAG00000021585
cavia_porcellus ENSCPOG00000009098
cavia_aperea ENSCAPG00000014359
chinchilla_lanigera ENSCLAG00000007156
octodon_degus ENSODEG00000000449
heterocephalus_glaber ENSHGLG00000005718
heterocephalus_glaber ENSHGLG00100003619
fukomys_damarensis ENSFDAG00000010293
urocitellus_parryii ENSUPAG00010017878
ictidomys_tridecemlineatus ENSSTOG00000006680
marmota_marmota ENSMMMG00000021323
spermophilus_dauricus ENSSDAG00000020928
ochotona_princeps ENSOPRG00000011156
pan_troglodytes ENSPTRG00000008788
pan_paniscus ENSPPAG00000011633
homo_sapiens ENSG00000006744
gorilla_gorilla ENSGGOG00000015850
pongo_abelii ENSPPYG00000007997
nomascus_leucogenys ENSNLEG00000014599
papio_anubis ENSPANG00000023751
theropithecus_gelada ENSTGEG00000028085
cercocebus_atys ENSCATG00000030564
mandrillus_leucophaeus ENSMLEG00000036307
macaca_mulatta ENSMMUG00000014450
macaca_fascicularis ENSMFAG00000041840
macaca_nemestrina ENSMNEG00000044872
chlorocebus_sabaeus ENSCSAG00000009057
rhinopithecus_bieti ENSRBIG00000021596
rhinopithecus_roxellana ENSRROG00000033226
colobus_angolensis ENSCANG00000040743
piliocolobus_tephrosceles ENSPTEG00000036781
cebus_capucinus ENSCCAG00000036307
saimiri_boliviensis ENSSBOG00000016993
callithrix_jacchus ENSCJAG00000004542
aotus_nancymaae ENSANAG00000036642
carlito_syrichta ENSTSYG00000005202
propithecus_coquereli ENSPCOG00000014581
prolemur_simus ENSPSMG00000017517
microcebus_murinus ENSMICG00000002428
otolemur_garnettii ENSOGAG00000012628
tupaia_belangeri ENSTBEG00000011992
dasypus_novemcinctus ENSDNOG00000004242
ursus_americanus ENSUAMG00000016626
ursus_maritimus ENSUMAG00000021393
ailuropoda_melanoleuca ENSAMEG00000010418
neovison_vison ENSNVIG00000019640
mustela_putorius ENSMPUG00000003608
canis_lupus ENSCAFG00000017886
canis_lupus ENSCAFG00020000574
vulpes_vulpes ENSVVUG00000029905
panthera_pardus ENSPPRG00000023801
felis_catus ENSFCAG00000008407
bos_indicus ENSBIXG00005016125
bos_mutus ENSBMUG00000013205
bos_indicus ENSBIXG00000013307
bos_taurus ENSBTAG00000021939
bison_bison ENSBBBG00000014088
capra_hircus ENSCHIG00000025992
ovis_aries ENSOARG00000015747
tursiops_truncatus ENSTTRG00000002898
sus_scrofa ENSSSCG00000028465
loxodonta_africana ENSLAFG00000009404
procavia_capensis ENSPCAG00000012427
vombatus_ursinus ENSVURG00010015840
phascolarctos_cinereus ENSPCIG00000009347
notamacropus_eugenii ENSMEUG00000000013
sarcophilus_harrisii ENSSHAG00000004575
monodelphis_domestica ENSMODG00000008064
ornithorhynchus_anatinus ENSOANG00000029080
ornithorhynchus_anatinus ENSOANG00000030277
notechis_scutatus ENSNSUG00000018131
pogona_vitticeps ENSPVIG00000014152
anolis_carolinensis ENSACAG00000017398
salvator_merianae ENSSMRG00000006166
sphenodon_punctatus ENSSPUG00000004817
apteryx_owenii ENSAOWG00000015308
apteryx_haastii ENSAHAG00000017583
apteryx_rowi ENSARWG00000014934
dromaius_novaehollandiae ENSDNVG00000006348
nothoprocta_perdicaria ENSNPEG00000014799
gallus_gallus ENSGALG00000001036
meleagris_gallopavo ENSMGAG00000002134
coturnix_japonica ENSCJPG00005020358
numida_meleagris ENSNMEG00000014797
anser_brachyrhynchus ENSABRG00000018352
lonchura_striata ENSLSDG00000013915
taeniopygia_guttata ENSTGUG00000005776
junco_hyemalis ENSJHYG00000012715
parus_major ENSPMJG00000018754
cyanistes_caeruleus ENSCCEG00000018697
serinus_canaria ENSSCAG00000008849
zonotrichia_albicollis ENSZALG00000014935
ficedula_albicollis ENSFALG00000011155
lepidothrix_coronata ENSLCOG00000001791
manacus_vitellinus ENSMVIG00005018955
melopsittacus_undulatus ENSMUNG00000011066
calidris_pugnax ENSCPUG00000009943
calidris_pygmaea ENSCPGG00000015833
crocodylus_porosus ENSCPRG00005011541
gopherus_agassizii ENSGAGG00000017133
chelonoidis_abingdonii ENSCABG00000014881
chrysemys_picta ENSCPBG00000027769
pelodiscus_sinensis ENSPSIG00000002191
xenopus_tropicalis ENSXETG00000016494
denticeps_clupeoides ENSDCDG00000005622
clupea_harengus ENSCHAG00000001145
ictalurus_punctatus ENSIPUG00000022303
electrophorus_electricus ENSEEEG00000019386
astyanax_mexicanus ENSAMXG00000042565
astyanax_mexicanus ENSAMXG00005009487
pygocentrus_nattereri ENSPNAG00000018524
danio_rerio ENSDARG00000034060
kryptolebias_marmoratus ENSKMAG00000019583
kryptolebias_marmoratus ENSKMAG00000019598
xiphophorus_couchianus ENSXCOG00000004282
xiphophorus_couchianus ENSXCOG00000004279
poecilia_mexicana ENSPMEG00000023756
poecilia_formosa ENSPFOG00000003750
poecilia_latipinna ENSPLAG00000015161
poecilia_reticulata ENSPREG00000003349
gambusia_affinis ENSGAFG00000005456
periophthalmus_magnuspinnatus ENSPMGG00000007330
cynoglossus_semilaevis ENSCSEG00000020630
labrus_bergylta ENSLBEG00000027524
mola_mola ENSMMOG00000020227
takifugu_rubripes ENSTRUG00000004076
tetraodon_nigroviridis ENSTNIG00000011271
hippocampus_comes ENSHCOG00000006972
cottoperca_gobio ENSCGOG00000018282
gasterosteus_aculeatus ENSGACG00000014454
larimichthys_crocea ENSLCRG00005015870
amphiprion_percula ENSAPEG00000019425
amphiprion_ocellaris ENSAOCG00000003756
acanthochromis_polyacanthus ENSAPOG00000002563
stegastes_partitus ENSSPAG00000005674
parambassis_ranga ENSPRNG00000004575
fundulus_heteroclitus ENSFHEG00000015744
cyprinodon_variegatus ENSCVAG00000003649
poecilia_latipinna ENSPLAG00000015167
oryzias_latipes ENSORLG00000001024
oryzias_latipes ENSORLG00015008761
oryzias_melastigma ENSOMEG00000015065
maylandia_zebra ENSMZEG00005000530
pundamilia_nyererei ENSPNYG00000010837
haplochromis_burtoni ENSHBUG00000017777
astatotilapia_calliptera ENSACLG00000020349
oreochromis_niloticus ENSONIG00000009569
neolamprologus_brichardi ENSNBRG00000010410
amphilophus_citrinellus ENSACIG00000010330
monopterus_albus ENSMALG00000020125
mastacembelus_armatus ENSMAMG00000019957
anabas_testudineus ENSATEG00000020251
betta_splendens ENSBSLG00000006815
lates_calcarifer ENSLCAG00010007861
lates_calcarifer ENSLCAG00010016023
lates_calcarifer ENSLCAG00010023463
scophthalmus_maximus ENSSMAG00000012868
seriola_dumerili ENSSDUG00000023129
seriola_lalandi ENSSLDG00000005645
gadus_morhua ENSGMOG00000008574
hucho_hucho ENSHHUG00000044897
hucho_hucho ENSHHUG00000026973
esox_lucius ENSELUG00000018265
paramormyrops_kingsleyae ENSPKIG00000014594
scleropages_formosus ENSSFOG00015004103
lepisosteus_oculatus ENSLOCG00000012146
erpetoichthys_calabaricus ENSECRG00000022981
astyanax_mexicanus ENSAMXG00005005293
callorhinchus_milii ENSCMIG00000007803
eptatretus_burgeri ENSEBUG00000011361
drosophila_melanogaster FBgn0028426
saccharomyces_cerevisiae YKR079C
