denticeps_clupeoides ENSDCDG00000021509
clupea_harengus ENSCHAG00000017996
astyanax_mexicanus ENSAMXG00005005723
astyanax_mexicanus ENSAMXG00000021155
pygocentrus_nattereri ENSPNAG00000013212
ictalurus_punctatus ENSIPUG00000001999
electrophorus_electricus ENSEEEG00000022973
danio_rerio ENSDARG00000018069
maylandia_zebra ENSMZEG00005011145
pundamilia_nyererei ENSPNYG00000022556
haplochromis_burtoni ENSHBUG00000013067
astatotilapia_calliptera ENSACLG00000027464
oreochromis_niloticus ENSONIG00000019624
neolamprologus_brichardi ENSNBRG00000003665
amphilophus_citrinellus ENSACIG00000019449
oryzias_latipes ENSORLG00015022550
oryzias_latipes ENSORLG00020002523
oryzias_latipes ENSORLG00000009869
oryzias_melastigma ENSOMEG00000022249
kryptolebias_marmoratus ENSKMAG00000016165
cynoglossus_semilaevis ENSCSEG00000009379
hippocampus_comes ENSHCOG00000000759
periophthalmus_magnuspinnatus ENSPMGG00000001773
anabas_testudineus ENSATEG00000020782
mastacembelus_armatus ENSMAMG00000000168
labrus_bergylta ENSLBEG00000009475
amphiprion_percula ENSAPEG00000007711
amphiprion_ocellaris ENSAOCG00000000867
acanthochromis_polyacanthus ENSAPOG00000021503
stegastes_partitus ENSSPAG00000011045
parambassis_ranga ENSPRNG00000022815
fundulus_heteroclitus ENSFHEG00000005164
cyprinodon_variegatus ENSCVAG00000021525
poecilia_formosa ENSPFOG00000017851
poecilia_latipinna ENSPLAG00000018422
poecilia_mexicana ENSPMEG00000024467
poecilia_reticulata ENSPREG00000009340
xiphophorus_couchianus ENSXCOG00000004385
xiphophorus_maculatus ENSXMAG00000020818
gambusia_affinis ENSGAFG00000018053
seriola_lalandi ENSSLDG00000010235
seriola_dumerili ENSSDUG00000018111
lates_calcarifer ENSLCAG00010022693
larimichthys_crocea ENSLCRG00005003921
betta_splendens ENSBSLG00000025670
cottoperca_gobio ENSCGOG00000012837
gasterosteus_aculeatus ENSGACG00000012312
labrus_bergylta ENSLBEG00000018569
tetraodon_nigroviridis ENSTNIG00000018669
takifugu_rubripes ENSTRUG00000004750
mola_mola ENSMMOG00000009070
monopterus_albus ENSMALG00000020508
scophthalmus_maximus ENSSMAG00000009838
gouania_willdenowi ENSGWIG00000003437
gadus_morhua ENSGMOG00000014010
esox_lucius ENSELUG00000021757
hucho_hucho ENSHHUG00000043137
paramormyrops_kingsleyae ENSPKIG00000003068
scleropages_formosus ENSSFOG00015007196
lepisosteus_oculatus ENSLOCG00000014184
erpetoichthys_calabaricus ENSECRG00000018874
pogona_vitticeps ENSPVIG00000022722
notechis_scutatus ENSNSUG00000017682
salvator_merianae ENSSMRG00000009499
anolis_carolinensis ENSACAG00000005799
anolis_carolinensis ENSACAG00000028597
anolis_carolinensis ENSACAG00000005796
salvator_merianae ENSSMRG00000009504
sphenodon_punctatus ENSSPUG00000013833
nothoprocta_perdicaria ENSNPEG00000008254
nothoprocta_perdicaria ENSNPEG00000008250
apteryx_rowi ENSARWG00000002333
apteryx_owenii ENSAOWG00000001545
apteryx_haastii ENSAHAG00000014362
dromaius_novaehollandiae ENSDNVG00000001867
zonotrichia_albicollis ENSZALG00000006743
junco_hyemalis ENSJHYG00000003854
serinus_canaria ENSSCAG00000012832
lonchura_striata ENSLSDG00000010754
taeniopygia_guttata ENSTGUG00000011523
parus_major ENSPMJG00000015065
cyanistes_caeruleus ENSCCEG00000014327
ficedula_albicollis ENSFALG00000005180
lepidothrix_coronata ENSLCOG00000016373
manacus_vitellinus ENSMVIG00005011077
melopsittacus_undulatus ENSMUNG00000010158
calidris_pygmaea ENSCPGG00000007565
calidris_pugnax ENSCPUG00000007606
meleagris_gallopavo ENSMGAG00000011960
gallus_gallus ENSGALG00000009538
coturnix_japonica ENSCJPG00005017373
numida_meleagris ENSNMEG00000020130
anser_brachyrhynchus ENSABRG00000015498
anas_platyrhynchos ENSAPLG00000015195
crocodylus_porosus ENSCPRG00005017542
gopherus_agassizii ENSGAGG00000009053
chelonoidis_abingdonii ENSCABG00000016883
chrysemys_picta ENSCPBG00000006311
pelodiscus_sinensis ENSPSIG00000010721
phascolarctos_cinereus ENSPCIG00000023424
vombatus_ursinus ENSVURG00010023402
notamacropus_eugenii ENSMEUG00000015280
sarcophilus_harrisii ENSSHAG00000012295
monodelphis_domestica ENSMODG00000009998
ovis_aries ENSOARG00000021172
capra_hircus ENSCHIG00000020123
bos_indicus ENSBIXG00000023887
bos_indicus ENSBIXG00005029495
bos_taurus ENSBTAG00000001950
bos_mutus ENSBMUG00000012607
bison_bison ENSBBBG00000023755
tursiops_truncatus ENSTTRG00000015846
sus_scrofa ENSSSCG00000002296
ursus_americanus ENSUAMG00000009910
ursus_maritimus ENSUMAG00000010574
ailuropoda_melanoleuca ENSAMEG00000008067
neovison_vison ENSNVIG00000009324
mustela_putorius ENSMPUG00000007200
vulpes_vulpes ENSVVUG00000000921
canis_lupus ENSCAFG00020006316
panthera_tigris ENSPTIG00000019322
panthera_pardus ENSPPRG00000006642
felis_catus ENSFCAG00000014091
pteropus_vampyrus ENSPVAG00000011673
myotis_lucifugus ENSMLUG00000007669
vicugna_pacos ENSVPAG00000010467
canis_lupus ENSCAFG00000016442
sorex_araneus ENSSARG00000001237
erinaceus_europaeus ENSEEUG00000015672
equus_asinus ENSEASG00005008743
equus_caballus ENSECAG00000020502
spermophilus_dauricus ENSSDAG00000021219
urocitellus_parryii ENSUPAG00010012126
ictidomys_tridecemlineatus ENSSTOG00000000258
marmota_marmota ENSMMMG00000000141
chinchilla_lanigera ENSCLAG00000003299
octodon_degus ENSODEG00000013053
cavia_porcellus ENSCPOG00000002687
