ailuropoda_melanoleuca ENSAMEG00000012165
equus_asinus_asinus ENSEASG00005021032
loxodonta_africana ENSLAFG00000016827
choloepus_hoffmanni ENSCHOG00000005696
bos_taurus ENSBTAG00000055261
bos_mutus ENSBMUG00000018737
myotis_lucifugus ENSMLUG00000027099
loxodonta_africana ENSLAFG00000001243
sus_scrofa ENSSSCG00000031516
sus_scrofa ENSSSCG00000036215
sus_scrofa ENSSSCG00000031341
sus_scrofa ENSSSCG00000032805
sus_scrofa ENSSSCG00000031416
sus_scrofa ENSSSCG00000032733
sus_scrofa ENSSSCG00000038576
sus_scrofa ENSSSCG00000036749
sus_scrofa ENSSSCG00000035942
sus_scrofa ENSSSCG00000035439
sus_scrofa ENSSSCG00000034718
sus_scrofa ENSSSCG00000034582
sus_scrofa ENSSSCG00000032491
sus_scrofa ENSSSCG00000036003
sus_scrofa ENSSSCG00000035100
sus_scrofa ENSSSCG00000038000
sus_scrofa ENSSSCG00000036668
sus_scrofa ENSSSCG00000005568
sus_scrofa ENSSSCG00000038270
sus_scrofa ENSSSCG00000038431
sus_scrofa ENSSSCG00000032212
bos_taurus ENSBTAG00000054916
bos_taurus ENSBTAG00000048686
bison_bison_bison ENSBBBG00000004662
vicugna_pacos ENSVPAG00000001570
pteropus_vampyrus ENSPVAG00000024137
pteropus_vampyrus ENSPVAG00000024262
pteropus_vampyrus ENSPVAG00000024117
pteropus_vampyrus ENSPVAG00000024102
pteropus_vampyrus ENSPVAG00000024181
pteropus_vampyrus ENSPVAG00000013277
pteropus_vampyrus ENSPVAG00000024225
equus_asinus_asinus ENSEASG00005021044
sus_scrofa ENSSSCG00000035556
ursus_americanus ENSUAMG00000023741
ursus_maritimus ENSUMAG00000003395
neovison_vison ENSNVIG00000010710
felis_catus ENSFCAG00000040273
panthera_pardus ENSPPRG00000022421
loxodonta_africana ENSLAFG00000030248
loxodonta_africana ENSLAFG00000026175
procavia_capensis ENSPCAG00000016234
echinops_telfairi ENSETEG00000012607
dasypus_novemcinctus ENSDNOG00000045266
dasypus_novemcinctus ENSDNOG00000036191
dasypus_novemcinctus ENSDNOG00000025192
dasypus_novemcinctus ENSDNOG00000041172
bos_taurus ENSBTAG00000051688
vicugna_pacos ENSVPAG00000002650
