vicugna_pacos ENSVPAG00000000229
tursiops_truncatus ENSTTRG00000001183
pteropus_vampyrus ENSPVAG00000002168
sorex_araneus ENSSARG00000000815
pan_troglodytes ENSPTRG00000047870
pan_paniscus ENSPPAG00000033928
gorilla_gorilla ENSGGOG00000002456
nomascus_leucogenys ENSNLEG00000032111
colobus_angolensis ENSCANG00000032713
rhinopithecus_bieti ENSRBIG00000004669
mandrillus_leucophaeus ENSMLEG00000033198
macaca_fascicularis ENSMFAG00000035430
papio_anubis ENSPANG00000035654
cercocebus_atys ENSCATG00000033252
tupaia_belangeri ENSTBEG00000004422
