seriola_lalandi_dorsalis ENSSLDG00000012610
labrus_bergylta ENSLBEG00000025496
amphiprion_ocellaris ENSAOCG00000003532
xiphophorus_couchianus ENSXCOG00000020266
esox_lucius ENSELUG00000013945
loxodonta_africana ENSLAFG00000026189
echinops_telfairi ENSETEG00000009303
pongo_abelii ENSPPYG00000005344
propithecus_coquereli ENSPCOG00000019766
tupaia_belangeri ENSTBEG00000009129
cavia_aperea ENSCAPG00000011750
ursus_americanus ENSUAMG00000025413
erinaceus_europaeus ENSEEUG00000014643
mesocricetus_auratus ENSMAUG00000005243
bos_taurus ENSBTAG00000007067
taeniopygia_guttata ENSTGUG00000012299
