vulpes_vulpes ENSVVUG00000025107
neovison_vison ENSNVIG00000015622
mandrillus_leucophaeus ENSMLEG00000034553
macaca_nemestrina ENSMNEG00000043648
macaca_mulatta ENSMMUG00000009272
colobus_angolensis_palliatus ENSCANG00000032048
pan_paniscus ENSPPAG00000034286
pan_paniscus ENSPPAG00000005749
gorilla_gorilla ENSGGOG00000028270
aotus_nancymaae ENSANAG00000034457
cebus_capucinus ENSCCAG00000032295
cavia_aperea ENSCAPG00000011956
octodon_degus ENSODEG00000009407
mus_spicilegus ENSMSIG00000020528
piliocolobus_tephrosceles ENSPTEG00000007296
seriola_lalandi_dorsalis ENSSLDG00000011590
saccharomyces_cerevisiae YML063W
saccharomyces_cerevisiae YLR441C
