cyanistes_caeruleus ENSCCEG00000021604
lonchura_striata_domestica ENSLSDG00000000967
parus_major ENSPMJG00000017932
lepidothrix_coronata ENSLCOG00000015041
lonchura_striata_domestica ENSLSDG00000000991
serinus_canaria ENSSCAG00000004096
zonotrichia_albicollis ENSZALG00000014334
calidris_pygmaea ENSCPGG00000018359
melopsittacus_undulatus ENSMUNG00000013455
melopsittacus_undulatus ENSMUNG00000013457
apteryx_haastii ENSAHAG00000002467
apteryx_owenii ENSAOWG00000011108
apteryx_haastii ENSAHAG00000002458
apteryx_owenii ENSAOWG00000011100
apteryx_rowi ENSARWG00000003843
chelonoidis_abingdonii ENSCABG00000018931
