peromyscus_maniculatus_bairdii ENSPEMG00000000524
microtus_ochrogaster ENSMOCG00000022100
cricetulus_griseus_crigri ENSCGRG00000006660
cricetulus_griseus_crigri-picr ENSCGRG00015005004
mus_musculus ENSMUSG00000070464
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028837
mus_spicilegus ENSMSIG00000012522
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027838
mus_pahari MGP_PahariEiJ_G0024418
castor_canadensis ENSCCNG00000015172
marmota_marmota_marmota ENSMMMG00000010844
tupaia_belangeri ENSTBEG00000005040
vicugna_pacos ENSVPAG00000003370
choloepus_hoffmanni ENSCHOG00000011928
