mustela_putorius_furo ENSMPUG00000009849
neovison_vison ENSNVIG00000019718
ursus_maritimus ENSUMAG00000014926
ursus_americanus ENSUAMG00000018871
ailuropoda_melanoleuca ENSAMEG00000014778
canis_lupus_familiaris ENSCAFG00000029744
canis_lupus_dingo ENSCAFG00020002217
vulpes_vulpes ENSVVUG00000027236
felis_catus ENSFCAG00000045934
panthera_pardus ENSPPRG00000009426
myotis_lucifugus ENSMLUG00000022726
bos_taurus ENSBTAG00000012131
bos_mutus ENSBMUG00000010276
bison_bison_bison ENSBBBG00000005336
ovis_aries ENSOARG00000007273
sus_scrofa ENSSSCG00000039747
equus_asinus_asinus ENSEASG00005013521
equus_caballus ENSECAG00000032946
marmota_marmota_marmota ENSMMMG00000012568
urocitellus_parryii ENSUPAG00010009207
oryctolagus_cuniculus ENSOCUG00000029408
theropithecus_gelada ENSTGEG00000014957
piliocolobus_tephrosceles ENSPTEG00000025806
dasypus_novemcinctus ENSDNOG00000042982
dasypus_novemcinctus ENSDNOG00000044143
