seriola_dumerili ENSSDUG00000011611
seriola_lalandi_dorsalis ENSSLDG00000024963
scophthalmus_maximus ENSSMAG00000014901
xiphophorus_maculatus ENSXMAG00000018114
xiphophorus_couchianus ENSXCOG00000017233
gambusia_affinis ENSGAFG00000018078
poecilia_mexicana ENSPMEG00000021575
poecilia_latipinna ENSPLAG00000002788
poecilia_reticulata ENSPREG00000022056
poecilia_formosa ENSPFOG00000009995
fundulus_heteroclitus ENSFHEG00000000800
cyprinodon_variegatus ENSCVAG00000022980
kryptolebias_marmoratus ENSKMAG00000017050
kryptolebias_marmoratus ENSKMAG00000017011
astatotilapia_calliptera ENSACLG00000025778
maylandia_zebra ENSMZEG00005024845
pundamilia_nyererei ENSPNYG00000015604
haplochromis_burtoni ENSHBUG00000005322
neolamprologus_brichardi ENSNBRG00000008669
oreochromis_niloticus ENSONIG00000013407
amphilophus_citrinellus ENSACIG00000016384
amphiprion_ocellaris ENSAOCG00000010694
amphiprion_percula ENSAPEG00000023800
acanthochromis_polyacanthus ENSAPOG00000007133
stegastes_partitus ENSSPAG00000010590
gasterosteus_aculeatus ENSGACG00000008754
labrus_bergylta ENSLBEG00000022735
takifugu_rubripes ENSTRUG00000013922
tetraodon_nigroviridis ENSTNIG00000015863
mola_mola ENSMMOG00000017618
hippocampus_comes ENSHCOG00000009806
cynoglossus_semilaevis ENSCSEG00000011997
periophthalmus_magnuspinnatus ENSPMGG00000013400
gadus_morhua ENSGMOG00000000487
esox_lucius ENSELUG00000013140
pygocentrus_nattereri ENSPNAG00000011621
astyanax_mexicanus ENSAMXG00000012032
danio_rerio ENSDARG00000002405
scleropages_formosus ENSSFOG00015004209
lepisosteus_oculatus ENSLOCG00000004784
latimeria_chalumnae ENSLACG00000001782
eptatretus_burgeri ENSEBUG00000003208
eptatretus_burgeri ENSEBUG00000003557
eptatretus_burgeri ENSEBUG00000004687
petromyzon_marinus ENSPMAG00000009167
