gasterosteus_aculeatus ENSGACG00000020547
labrus_bergylta ENSLBEG00000002690
takifugu_rubripes ENSTRUG00000017324
tetraodon_nigroviridis ENSTNIG00000009910
hippocampus_comes ENSHCOG00000009254
periophthalmus_magnuspinnatus ENSPMGG00000000513
scophthalmus_maximus ENSSMAG00000004007
oryzias_latipes ENSORLG00000027016
haplochromis_burtoni ENSHBUG00000011318
astatotilapia_calliptera ENSACLG00000004241
maylandia_zebra ENSMZEG00005024594
pundamilia_nyererei ENSPNYG00000014168
neolamprologus_brichardi ENSNBRG00000014108
oreochromis_niloticus ENSONIG00000012702
amphilophus_citrinellus ENSACIG00000023670
oryzias_latipes_asm223469v1 ENSORLG00015019800
oryzias_latipes ENSORLG00020014759
oryzias_melastigma ENSOMEG00000011641
mastacembelus_armatus ENSMAMG00000015126
anabas_testudineus ENSATEG00000004527
monopterus_albus ENSMALG00000009906
seriola_lalandi_dorsalis ENSSLDG00000022439
seriola_dumerili ENSSDUG00000014963
fundulus_heteroclitus ENSFHEG00000001233
cyprinodon_variegatus ENSCVAG00000013746
xiphophorus_maculatus ENSXMAG00000008413
xiphophorus_couchianus ENSXCOG00000009985
gambusia_affinis ENSGAFG00000020939
poecilia_formosa ENSPFOG00000012579
poecilia_mexicana ENSPMEG00000015925
poecilia_latipinna ENSPLAG00000008472
poecilia_reticulata ENSPREG00000010419
kryptolebias_marmoratus ENSKMAG00000006513
amphiprion_percula ENSAPEG00000019351
amphiprion_ocellaris ENSAOCG00000002554
acanthochromis_polyacanthus ENSAPOG00000019012
stegastes_partitus ENSSPAG00000011537
mola_mola ENSMMOG00000010850
gadus_morhua ENSGMOG00000019255
esox_lucius ENSELUG00000007216
astyanax_mexicanus ENSAMXG00000003107
pygocentrus_nattereri ENSPNAG00000006240
danio_rerio ENSDARG00000054755
scleropages_formosus ENSSFOG00015004708
paramormyrops_kingsleyae ENSPKIG00000015996
lepisosteus_oculatus ENSLOCG00000000235
apteryx_owenii ENSAOWG00000009600
apteryx_haastii ENSAHAG00000002639
apteryx_rowi ENSARWG00000014345
dromaius_novaehollandiae ENSDNVG00000004436
anser_brachyrhynchus ENSABRG00000020028
anas_platyrhynchos_platyrhynchos ENSAPLG00000004149
gallus_gallus ENSGALG00000026781
coturnix_japonica ENSCJPG00005020419
meleagris_gallopavo ENSMGAG00000015085
numida_meleagris ENSNMEG00000019354
melopsittacus_undulatus ENSMUNG00000005137
taeniopygia_guttata ENSTGUG00000011710
lonchura_striata_domestica ENSLSDG00000018076
serinus_canaria ENSSCAG00000006720
junco_hyemalis ENSJHYG00000011720
zonotrichia_albicollis ENSZALG00000011633
cyanistes_caeruleus ENSCCEG00000023761
parus_major ENSPMJG00000017448
ficedula_albicollis ENSFALG00000008494
manacus_vitellinus ENSMVIG00005001389
lepidothrix_coronata ENSLCOG00000003788
calidris_pygmaea ENSCPGG00000009518
calidris_pugnax ENSCPUG00000013411
crocodylus_porosus ENSCPRG00005011719
pogona_vitticeps ENSPVIG00000020970
anolis_carolinensis ENSACAG00000005075
notechis_scutatus ENSNSUG00000012858
salvator_merianae ENSSMRG00000013103
gopherus_agassizii ENSGAGG00000021913
chelonoidis_abingdonii ENSCABG00000008087
chrysemys_picta_bellii ENSCPBG00000020426
pelodiscus_sinensis ENSPSIG00000007952
sphenodon_punctatus ENSSPUG00000013516
nothoprocta_perdicaria ENSNPEG00000010768
dipodomys_ordii ENSDORG00000006041
castor_canadensis ENSCCNG00000030742
cricetulus_griseus_crigri ENSCGRG00000012456
cricetulus_griseus_crigri-picr ENSCGRG00015017489
cricetulus_griseus_chok1gshd ENSCGRG00001018470
mesocricetus_auratus ENSMAUG00000012262
peromyscus_maniculatus_bairdii ENSPEMG00000000576
microtus_ochrogaster ENSMOCG00000018258
mus_musculus ENSMUSG00000060063
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029049
mus_spicilegus ENSMSIG00000023243
mus_pahari MGP_PahariEiJ_G0024617
rattus_norvegicus ENSRNOG00000000907
nannospalax_galili ENSNGAG00000010455
jaculus_jaculus ENSJJAG00000004614
ictidomys_tridecemlineatus ENSSTOG00000010915
urocitellus_parryii ENSUPAG00010000582
spermophilus_dauricus ENSSDAG00000009344
marmota_marmota_marmota ENSMMMG00000021924
chinchilla_lanigera ENSCLAG00000005620
octodon_degus ENSODEG00000005645
heterocephalus_glaber_female ENSHGLG00000013689
heterocephalus_glaber_male ENSHGLG00100000592
fukomys_damarensis ENSFDAG00000005575
cavia_aperea ENSCAPG00000017224
cavia_porcellus ENSCPOG00000032690
oryctolagus_cuniculus ENSOCUG00000008200
ochotona_princeps ENSOPRG00000001916
propithecus_coquereli ENSPCOG00000016712
prolemur_simus ENSPSMG00000017803
microcebus_murinus ENSMICG00000001953
otolemur_garnettii ENSOGAG00000015495
