parus_major ENSPMJG00000007873
cyanistes_caeruleus ENSCCEG00000009818
ficedula_albicollis ENSFALG00000008156
taeniopygia_guttata ENSTGUG00000000794
lonchura_striata_domestica ENSLSDG00000009948
junco_hyemalis ENSJHYG00000000986
zonotrichia_albicollis ENSZALG00000010363
serinus_canaria ENSSCAG00000011954
lepidothrix_coronata ENSLCOG00000007055
manacus_vitellinus ENSMVIG00005001258
calidris_pygmaea ENSCPGG00000016252
calidris_pugnax ENSCPUG00000002219
melopsittacus_undulatus ENSMUNG00000002267
meleagris_gallopavo ENSMGAG00000006247
gallus_gallus ENSGALG00000004360
coturnix_japonica ENSCJPG00005006968
numida_meleagris ENSNMEG00000018278
apteryx_owenii ENSAOWG00000016402
apteryx_rowi ENSARWG00000001761
apteryx_haastii ENSAHAG00000002048
crocodylus_porosus ENSCPRG00005012698
anolis_carolinensis ENSACAG00000010159
notechis_scutatus ENSNSUG00000016597
salvator_merianae ENSSMRG00000016982
sphenodon_punctatus ENSSPUG00000004165
ornithorhynchus_anatinus ENSOANG00000009602
xenopus_tropicalis ENSXETG00000015899
latimeria_chalumnae ENSLACG00000017344
