cynoglossus_semilaevis ENSCSEG00000015730
oryzias_melastigma ENSOMEG00000014657
labrus_bergylta ENSLBEG00000025196
takifugu_rubripes ENSTRUG00000023852
tetraodon_nigroviridis ENSTNIG00000017800
mola_mola ENSMMOG00000014582
pundamilia_nyererei ENSPNYG00000007395
maylandia_zebra ENSMZEG00005001486
haplochromis_burtoni ENSHBUG00000011340
astatotilapia_calliptera ENSACLG00000019510
neolamprologus_brichardi ENSNBRG00000010289
maylandia_zebra ENSMZEG00005000808
oreochromis_niloticus ENSONIG00000018153
acanthochromis_polyacanthus ENSAPOG00000009800
mastacembelus_armatus ENSMAMG00000002197
monopterus_albus ENSMALG00000011382
xiphophorus_maculatus ENSXMAG00000016005
xiphophorus_couchianus ENSXCOG00000011369
gambusia_affinis ENSGAFG00000018003
poecilia_formosa ENSPFOG00000011737
poecilia_mexicana ENSPMEG00000017767
poecilia_latipinna ENSPLAG00000020907
poecilia_reticulata ENSPREG00000021934
cyprinodon_variegatus ENSCVAG00000015045
fundulus_heteroclitus ENSFHEG00000003673
kryptolebias_marmoratus ENSKMAG00000020554
gasterosteus_aculeatus ENSGACG00000016266
seriola_dumerili ENSSDUG00000006892
seriola_lalandi_dorsalis ENSSLDG00000020650
scophthalmus_maximus ENSSMAG00000014985
stegastes_partitus ENSSPAG00000010407
stegastes_partitus ENSSPAG00000016705
amphiprion_ocellaris ENSAOCG00000018192
amphiprion_percula ENSAPEG00000021387
anabas_testudineus ENSATEG00000002857
hippocampus_comes ENSHCOG00000001602
periophthalmus_magnuspinnatus ENSPMGG00000004990
esox_lucius ENSELUG00000020092
pygocentrus_nattereri ENSPNAG00000003476
astyanax_mexicanus ENSAMXG00000010274
ictalurus_punctatus ENSIPUG00000013692
danio_rerio ENSDARG00000078659
scleropages_formosus ENSSFOG00015007250
paramormyrops_kingsleyae ENSPKIG00000015015
lepisosteus_oculatus ENSLOCG00000008186
