dromaius_novaehollandiae ENSDNVG00000001218
nothoprocta_perdicaria ENSNPEG00000009170
lonchura_striata_domestica ENSLSDG00000013206
junco_hyemalis ENSJHYG00000008687
parus_major ENSPMJG00000013748
lepidothrix_coronata ENSLCOG00000008992
calidris_pygmaea ENSCPGG00000014216
calidris_pugnax ENSCPUG00000005050
anas_platyrhynchos_platyrhynchos ENSAPLG00000019427
anser_brachyrhynchus ENSABRG00000011520
numida_meleagris ENSNMEG00000012105
coturnix_japonica ENSCJPG00005015797
crocodylus_porosus ENSCPRG00005011023
chrysemys_picta_bellii ENSCPBG00000023423
pelodiscus_sinensis ENSPSIG00000005262
salvator_merianae ENSSMRG00000016213
pogona_vitticeps ENSPVIG00000002389
pogona_vitticeps ENSPVIG00000004675
anolis_carolinensis ENSACAG00000023290
notechis_scutatus ENSNSUG00000003205
salvator_merianae ENSSMRG00000012703
heterocephalus_glaber_female ENSHGLG00000019423
heterocephalus_glaber_male ENSHGLG00100012600
echinops_telfairi ENSETEG00000005193
notamacropus_eugenii ENSMEUG00000015491
phascolarctos_cinereus ENSPCIG00000015494
monodelphis_domestica ENSMODG00000023139
ornithorhynchus_anatinus ENSOANG00000015171
xenopus_tropicalis ENSXETG00000030871
