amphilophus_citrinellus ENSACIG00000002963
pundamilia_nyererei ENSPNYG00000020165
poecilia_reticulata ENSPREG00000001052
kryptolebias_marmoratus ENSKMAG00000021069
oryzias_latipes ENSORLG00020006240
acanthochromis_polyacanthus ENSAPOG00000020865
takifugu_rubripes ENSTRUG00000024289
anabas_testudineus ENSATEG00000009190
seriola_dumerili ENSSDUG00000012466
seriola_lalandi_dorsalis ENSSLDG00000021616
scophthalmus_maximus ENSSMAG00000015668
monopterus_albus ENSMALG00000009754
mastacembelus_armatus ENSMAMG00000015480
amphiprion_percula ENSAPEG00000005815
amphiprion_ocellaris ENSAOCG00000005048
stegastes_partitus ENSSPAG00000002287
labrus_bergylta ENSLBEG00000010858
astatotilapia_calliptera ENSACLG00000021663
maylandia_zebra ENSMZEG00005014402
haplochromis_burtoni ENSHBUG00000011888
neolamprologus_brichardi ENSNBRG00000019814
poecilia_latipinna ENSPLAG00000012837
poecilia_mexicana ENSPMEG00000018706
gambusia_affinis ENSGAFG00000013871
xiphophorus_maculatus ENSXMAG00000019584
mola_mola ENSMMOG00000020882
periophthalmus_magnuspinnatus ENSPMGG00000020435
esox_lucius ENSELUG00000001263
pygocentrus_nattereri ENSPNAG00000022142
paramormyrops_kingsleyae ENSPKIG00000004809
paramormyrops_kingsleyae ENSPKIG00000004847
scleropages_formosus ENSSFOG00015011738
paramormyrops_kingsleyae ENSPKIG00000005882
